district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Cache County School District [ 8 ],UT,http://www.ccsdut.org/,https://www.ccsdut.org/departments/communications/public-information/policies/2000-administration-district-planning,,https://www.ccsdut.org/departments/communications/public-information/policies/2000-administration-district-planning,Missing: tech (crawl limited),2,0,0,1,0,1,,,"esponsible citizenry by providing a safe, resource-filled learning environment. Directory Do you have questions, comments, or concerns? Our Directory page makes it easy to connect with our district and receive a response in the way that works best for you. Cache Education Foundat…",,OUT US Cache Education Foundation Calendars District Office Locations District Leadership Superintendent Messages Public Information School Contact Information Strategic Plan Our Core Values Portrait of a Graduate Welcome New Students/Families 2026-27 School Year Changes FOR PARE…
North Sanpete School District [ 27 ],UT,https://www.nsanpete.org/,https://www.nsanpete.org/school-board,https://www.nsanpete.org/departments/technology,https://www.nsanpete.org/district-office-staff,,2,0,0,1,0,1,,,"formation, please review our Employee and Student Technology Acceptable Use Policy, Poliocy D-66,E-30 Our Technology Team Sean Rawlinson IT Director/Security Officer Email Angela Thompson Data Privacy Officer/Records Officer Email Enoch Brown Systems Administrator Email Tasmin Va…",,"Resource February 2, 2026 USBE Safe Use of Technology Resource Unified Basketball January 28, 2026 Unified Basketball Tournament Show More Contact us DISTRICT OFFICE 220 East 700 South Mt. Pleasant, UT 84647 T: (435) 462-2485 | F: (435) 462-2480 8:00 am - 4:00 pm Monday-Friday Cl…"
Hawaii,UT,http://www.hawaiipublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Morgan,UT,http://www.morgan-county.net,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Canyons School District [ 9 ],UT,http://www.canyonsdistrict.org/,https://www.canyonsdistrict.org/depts/hr/critical-policy-review/,,https://www.canyonsdistrict.org/faculty-and-staff/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ng of a founding administrator who was known nationally for her commitment... Read Article CSD Pays Tribute to Life, Legacy of Longtime CTE Director More News 47 Schools and Programs Endless Opportunities to Pursue Your Passions Pre-K and Kindergarten Elementary School Middle Sch…",,doption Process Home Approved Core Curricula Approved Interventions Digital Tool Library Curriculum Maps Annual Curriculum Adoption Process CONTACT US For questions about approved or proposed curriculam please contact the Instructional Supports Department. 801-826-5000 shelly.mil…
Beaver Mountain,UT,http://www.skithebeav.com,https://www.skithebeav.com/privacy-policy/,,https://www.skithebeav.com/contact-us/,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,"rn exposure for the perfect morning sun and runs for every rider, The Beav is the ideal spot to create lifelong family memories. Learn More Contact Us Gear Store Employment Newsletter Signup Account Login FAQ Privacy Policy Refund Policy Terms & Conditions © 2026 Beaver Mountain …"
Uintah,UT,http://www.co.uintah.ut.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Daggett School District [ 11 ],UT,http://www.dsdf.org/,https://www.dsdf.org/o/daggett-sd/page/privacy-policy,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"opportunity provider, employer, and lender. Related inquiries and complaints may be directed to a school administrator or to Mindy Terry, Title IX Coordinator, at mterry@dsdf.org. Stay Connected Copyright © 2026 Daggett School District. All rights reserved. Powered By Apptegy Vis…",,"ire alternative means of communication for program information (e.g., Braille, large print, audiotape, American Sign Language, etc.) should contact the responsible Agency or USDA's TARGET Center at (202) 720-2600 (voice and TTY) or contact USDA through the Federal Relay Service a…"
Tooele County School District [ 40 ],UT,https://www.tooeleschools.org/,https://www.tooeleschools.org/departments/communications/communication-policies,,https://www.tooeleschools.org/about-us/district-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,ent Close Menu Search Clear Search About Us About Tooele County School District Audit Committee Adult Education District Calendars District Directory Legislative Audit 2025 News Preschool Information Registration / Enrollment School Boundaries and Walking Plans Student Data and I…,,window/tab) X (opens in new window/tab) YouTube (opens in new window/tab) Instagram (opens in new window/tab) Contact Us Calendar Faculty & Staff Directory (opens in new window/tab) Meals Menu (opens in new window/tab) News & Announcements Webmaster Login (opens in new window/tab…
Puerto Rico,UT,https://de.pr.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,1,0,0,,,rvicios Asuntos Academicos TAL SEPI Recursos Empleos Ofertas de Empleo Portal de Recursos Humanos Portal del Empleado Aplicaciones Internas Directorio Portal oficial del Gobierno de Puerto Rico Un sitio web oficial .pr.gov pertenece a una organización oficial del Gobierno de Puer…,,
San Juan School District [ 35 ],UT,https://sjsd.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Alpine School District [ 5 ],UT,https://alpineschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Juab School District [ 20 ],UT,https://www.juabsd.org/,https://www.juabsd.org/page/medication-policy-and-procedures-change,,https://www.juabsd.org/page/contacts,Missing: tech (crawl limited),2,0,0,1,0,1,,,"s, or employment practices. The following individuals have been designated to handle inquiries and complaints regarding nondiscrimination: Title IX & Section 504 Coordinator Andy Carlsen 346 East 600 North, Nephi, UT 84648 andy.carlsen@juabsd.org | (435) 850-0129 Inquiries may al…",,"Checks Open Positions Families Show submenu for Families Families Annual FERPA Notice Assessment, Scoring, and Reporting Bus Routes Canvas Directory Information Notice Family Resources Higher Education Outreach Data Notice Lunch Menus Lunch - Pay Online Lunch Applications New Stu…"
Park City Mountain Resort,UT,https://www.parkcitymountain.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Salt Lake,UT,https://www.slco.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
2034 Winter Olympics,UT,https://olympics.com/ioc/olympic-games/salt-lake-city-utah-2034,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jordan School District [ 19 ],UT,http://www.jordandistrict.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Rich School District [ 33 ],UT,http://www.richschool.org/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,guage skip to main content skip to navigation Skip to Navigation Rich School District Login District Information Resources Schools Calendar Contact 2026-2027 Proposed Calendar Employment Classified (Hourly) Application Certified (Contract) Application Substitute Packet QUICK LINK…
State fair,UT,http://www.utahstatefair.com,https://www.utahstatefair.com/purchase-policy,,https://www.utahstatefair.com/p/about/about-us/staff1,Missing: tech (crawl limited),2,0,0,1,0,1,,,on Email Get Updates Buy Tickets Home > About Us > Contact Us > Staff Staff Larry Mullenax Executive Director Nicki Claeys Deputy Executive Director Marketing Director Bobby Villarreal Operations & Facilities Director Aly Garcia Events & Public Safety Director Jacee Lancaster Liv…,,Music Competition Special Event Education Attractions Exhibits Presentation Food Sampling Event Vendors Event Parking About Us Getting Here Contact Us > Staff Job Opportunities Sponsor Hotels & Lodging Partners Active RFP/RFQ's Onsite Tenants & Services > Utah State Driver Licens…
Park City School District [ 30 ],UT,http://www.pcschools.us,https://www.pcschools.us/departments/child-nutrition/policies,,https://www.pcschools.us/about/contact,Missing: tech (crawl limited),2,0,0,1,0,1,,,AP Courses Read More about Park City School District Hosts Information Night on Concurrent Enrollment and AP Courses Conversations with the Superintendent Read More about Conversations with the Superintendent Load More Mission & Vision The mission of Park City School District is …,,Skip To Main Content Close Menu Search Clear Search About ADAA/Non Discrimination Compliance Bullying or Harassment Reporting Form Calendar Contact Construction Updates FAQ’s – Treasure Mountain Junior High School Demolition & Environmental Safety District Leadership School Safet…
Sevier,UT,http://www.sevierutah.net,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Deer Valley,UT,https://www.deervalley.com/,,,https://www.deervalley.com/get-in-touch/contact-us,"Missing: policy, tech (crawl limited)",1,0,0,0,0,1,,,,,"iendly cafés to elegant restaurants, Deer Valley Resort offers a wide array of dining opportunities in Park City. Find what best suits you! Contact Us Dedicated to offering exceptional service, Deer Valley Resort strives to provide guests with the best experience possible. Please…"
Duchesne,UT,http://duchesne.utah.gov,,,https://duchesne.utah.gov/serv/staff-directory/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,Vehicle Renewal Business License Request Open Records GRAMA Greenbelt Application Find Frequently Asked Questions Form Center Contact Staff Directory Commission Assessor’s Office Clerk/Auditor’s Office Court Information Systems Human Resources GIS / Maps Recorder’s Office Treasur…,,nd Rescue Local Firefighter Service Courts & Legal Services Courts Attorney Victim’s Advocacy Children’s Justice Center Utah Legal Services Staff Directory Close Travel and Tourism How Do I? Apply Employment Opportunities Business License Building Permit Property Tax Relief Green…
Tooele,UT,http://www.co.tooele.ut.us,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,Tooele County Menu Home Your Government About the County Departments County Holidays County Government News Releases Historical Attractions Contact Us Elected Officials Assessor Attorney Auditor Clerk Commission Recorder/Surveyor Sheriff Treasurer Justice Court Departments Aging …
Wasatch,UT,http://www.co.wasatch.ut.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Solitude Mountain Resort,UT,https://www.solitudemountain.com,https://www.solitudemountain.com/mountain-and-village/mountain-information/mountain-policies,,https://www.solitudemountain.com/footer/contact/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ves. All guests who use Solitude Mountain Resort’s lifts and who participate in snowsports or other activities while on Resort property are responsible for knowing and understanding our mountain policies and safety tips. rich-text, responsive-table Mountain Policies rich-text, re…",,y & Policies Sustainability Alterra Mountain Community Foundation Employment Solitude Job Applications Solitude Career Information LinkedIn Contact Contact Us Media Room Donation Request About Us Ikon Pass FAQ Resort Partners Mountain Safety & Policies Sustainability Alterra Moun…
Garfield,UT,http://garfield.utah.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Logan City School District [ 22 ],UT,http://www.loganschools.org/,https://www.loganschools.org/privacypolicy,https://www.loganschools.org/informationtechnologyandstudentserv,,Missing: contact (crawl limited),2,0,0,1,0,1,,,y Surplus Store District Information Welcome to Logan City School District where we help students create a positive future. District Office Directory Audit Committee Members Board of Education Board Meeting Information Annual Board Meeting Schedule Board Agendas Board Minutes Boa…,,ementary Woodruff Elementary Mount Logan Middle School Logan High School Logan Schools Foundation Popular Links Calendar District Directory Contact Us Search Home We're Hiring! Parents & Students Parent & Student Resources Aspire Student Info System Breakfast & Lunch Menu Pricing…
Utah Shakespeare Festival,UT,http://www.bard.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"y Viola in disguise, and Viola secretly loves Orsino. Malvolio dreams of romance and status, and Sir Toby, Sir Andrew, and Maria stir up mischief and revelry. Full of mistaken identities, unrequited affections, and witty banter, this beloved comedy proves that love often finds us…",,"ps of 12 or more students: $15/ticket. Call the Ticket Office at 800-PLAYTIX to book your tickets. *For non-educational group rates, please contact the Ticket Office at 800-PLAYTIX. Ticket Office Policies Ticket Exchanges Tickets may be exchanged with at least twenty-four hours n…"
Temple Square,UT,https://www.templesquare.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
