district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Hawaii,WA,http://www.hawaiipublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Social and Health Services,WA,http://www.dshs.wa.gov/,https://www.dshs.wa.gov/office-of-the-secretary/rules-and-policies-assistance-unit,,https://www.dshs.wa.gov/contact-department-social-and-health-services,Missing: tech (crawl limited),2,0,0,1,0,1,,,"e - JLARC Code of Federal Regulations - CFRs Chapter 43.05 RCW (Technical Assistance Programs) Questions regarding RPAU, e-mail, call, or write: DSHS Rules Coordinator (360) 664-6097 FAX (360) 664-6185 DSHS Rules and Policies Assistance Unit PO Box 45850 Olympia, WA 98504-5850 OS…",,ytics Administration (FFA) Office of the Secretary Follow Us Facebook Twitter YouTube LinkedIn Quick Links About Us Locate a Service Office Contact Us Office of the Secretary Report Abuse and Neglect Washington Economic Justice Alliance DSHS is proud to host this important work t…
Eastmont School District 206,WA,https://www.eastmont206.org/,https://www.eastmont206.org/school-board/policies-and-procedures,,https://www.eastmont206.org/faculty-staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ncy Board Organization 1210 Annual Organizational Meeting, Election of Officers 1220 Board Officers and Duties of Board Members 1225 School Director Legislative Program 1240 Committees 1250 Student Representative to the Board of Directors 1250-F Application for Student Representa…",,"cern SchoolStatus Sites, a web platform for schools Website accessibility policy Privacy policy Site map Report accessibility issue Faculty/Staff Directory | Eastmont School District Skip to Main Content Header Search Translate Calendar Employment Directory Forms Click to display…"
Renton School District 403,WA,https://www.rentonschools.us/,https://www.rentonschools.us/departments/technology-services/technology-services-policies-and-procedures,https://www.rentonschools.us/departments/technology-services/technology-services-policies-and-procedures,https://www.rentonschools.us/staff-resources,,4,1,0,1,1,1,"priate use of the Internet and their devices. Students receive this information in their Student Handbook and through the 1:1 program. This policy applies to existing and emerging technologies, including Artificial Intelligence (AI). The Renton School District supports the OSPI H…",,s in new window/tab) Understanding School Board meetings School Board Director District Boundaries School Board Outstanding Employee Awards Superintendent Superintendent's Award: Service / Excellence / Equity Cabinet Welcome to Renton School District Contact Us School Start & Dis…,"priate use of the Internet and their devices. Students receive this information in their Student Handbook and through the 1:1 program. This policy applies to existing and emerging technologies, including Artificial Intelligence (AI). The Renton School District supports the OSPI H…","Renton School District Contact Us School Start & Dismissal Times Community Facilities Rental Our Commitment to Diversity, Equity, Inclusion Staff Directory Our Schools District Calendar Calendar Search School Start & End Times Policies and Procedures (opens in new window/tab) Ann…"
Griffin School District 324,WA,https://www.griffinschool.us/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"nd we gather on today is the homeland of the Squaxin Island people. Find Us Griffin School District #324 6530 33rd Ave NW Olympia, WA 98502 Phone 360-866-2515 Fax 360-866-9684 Front Office Hours 8:00 AM - 3:45 PM School Hours: M/T/TH/F - 8:45 AM to 3:15 PM W - 8:45 AM to 2:15 PM …"
Pacific,WA,http://www.co.pacific.wa.us,https://www.co.pacific.wa.us/BOE/meeting-documents-directory.html,,https://www.co.pacific.wa.us/BOE/meeting-documents-directory.html,Missing: tech (crawl limited),2,0,0,1,0,1,,,Pacific County Government Website Departmental Directory/ Contact Information Public Records Center Public Records Policy Employment Opportunities Facilities Use Policy & Application Request for:…,,Pacific County Government Website Departmental Directory/ Contact Information Public Records Center Public Records Policy Employment Opportunities Facilities Use Policy & Application Request for: Applicati…
Student Achievement Council,WA,https://www.wsac.wa.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Toppenish School District 202,WA,https://www.toppenish.wednet.edu/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,cation Aids or Services Toppenish SD Organizational Chart Board of Directors School Board of Directors Contact Us Toppenish School District Directory District Calendar District Report Card Monitoring Air Quality Strategic Framework Planning Committee Superintendent Superintendent…,,scriminación y HIB Requesting Communication Aids or Services Toppenish SD Organizational Chart Board of Directors School Board of Directors Contact Us Toppenish School District Directory District Calendar District Report Card Monitoring Air Quality Strategic Framework Planning Co…
Agriculture,WA,http://agr.wa.gov/,https://agr.wa.gov/contact-us/privacy-policy,,https://agr.wa.gov/contact-us/privacy-policy,Missing: tech (crawl limited),2,0,0,1,0,1,,,ks for Preschoolers WA Grown Food & Recipe Kit In the News GAPGHP Guide Q and A Videos Cannabis Cannabis Lab Analysis Program Pesticide Use Director's Office Washington State Agricultural Viability Director's Citation Award Director's Citation Award Nomination Criteria Legislativ…,,"h Animal Diseases New World Screwworm Rabbit Disease West Nile Virus Porcine Epidemic Diarrhea Equine Herpesvirus Animal Health Biosecurity Contact Us Fairs and Exhibitions Forms Import Requirements Birds and Poultry Import Illegal animals Goat, Sheep, Llamas, and Alpacas Import …"
Tri-Cities metropolitan area,WA,http://www.visittri-cities.com/,https://www.visittri-cities.com/privacy-policy/,,https://www.visittri-cities.com/contact-us/,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,WA | Visit Tri-Cities Skip to content Meetings & Conventions Sports IRONMAN Local Business Resources Press & Media Tri-IDEAs Blog About Us Contact Newsletter Visitor Guide Things to Do Wineries & Vineyards River Recreation History & Science Events & Entertainment Sunshine & Open …
Governors,WA,https://www.governor.wa.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Thurston,WA,http://www.co.thurston.wa.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Clover Park School District 400,WA,https://www.cloverpark.k12.wa.us/,,https://www.cloverpark.k12.wa.us/educational-technology,https://www.cloverpark.k12.wa.us/staff-home,Missing: policy (crawl limited),2,0,0,1,0,1,,,"following individuals at Clover Park School District, 10903 Gravelly Lake Dr. SW, Lakewood, Washington 98499-1341: Civil Rights Compliance Coordinator and Title IX Coordinator, Greg Davis, Executive Director of Human Resources, (253) 583-5087, gdavis@cloverpark.k12.wa.us; Section…",,"your student’s learning and activities at school, from anywhere. Clover Park School District 10903 Gravelly Lake Dr. SW Lakewood, WA 98499 Phone +1 253-583-5000 webmaster@cloverpark.k12.wa.us Report a Concern Site Map Accessibility Login Contents © 2026 Clover Park School Distric…"
Ellensburg School District 401,WA,http://esd401.org,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,tary Mount Stuart Elementary Valley View Elementary Early Learning Center Ellensburg Choice Schools × Close About Our District Our District Superintendent’s Message Welcome to the Ellensburg School District. It is a privilege to serve a community deeply committed to empowering le…,,trition Services Facility Maintenance Teaching & Learning Information Technology Educational Technology EdTech Home SchoolAI Highly Capable Staff Directory Board of Directors School Board Strategic Plan Staff Students & Families Multilingual Learner Programs Title I & Learning As…
Shoreline School District 412,WA,http://www.shorelineschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Enumclaw School District 216,WA,http://www.enumclaw.wednet.edu/,https://www.enumclaw.wednet.edu/o/esd/page/privacy-policy,,https://www.enumclaw.wednet.edu/o/esd/page/contact-webmaster,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,s to access Chromebooks and digital learning platforms that connect instruction with innovation. Next District Spotlight Item Accessibility Contact Webmaster Employment (opens in new window/tab) Nondiscrimination Privacy Policy Enumclaw School District 2929 McDougall Ave. Enumcla…
Central Valley School District 356,WA,https://www.cvsd.org/,,,https://www.cvsd.org/apps/staff/departmental.jsp?show=TDE,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,e upcoming school calendar. School Board Bulletin Find out what your School Board has been doing including the meaningful evaluation of the superintendent... CVSD Legislative Look Stay informed with your School Board’s 2026 Legislative Look at www.cvsd.org/LegislativeLook The CVS…,,ty Access to Schools Contact Us CVSD Survey Says... Future Plans Learning Communities & Link Events Meritorious Service Awards School Board Staff Directory Strategic Roadmap: Fast Forward CVSD 2023-2028 Superintendent About Us Schools CVSD All Schools - List CVSD Choice School Op…
Puyallup School District 3,WA,https://www.puyallup.k12.wa.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Archaeology and Historic Preservation,WA,http://dahp.wa.gov/,https://dahp.wa.gov/node/44/records-management-program/privacy-policy/privacy-policy,,https://dahp.wa.gov/about-us/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,"and retaliation. If you have any questions about this notice or any of our policies or procedures, please contact the Director, the Deputy Director, or DES Human Resources. Policies Accessibility Affirmative Action & Equal Employment Opportunity Anti-Discrimination Harassment Sex…",,"Olympia, WA 98501 Mailing Address PO Box 48343 Olympia, WA 98504-8343 Privacy Policy Public Disclosure Request Non-Discrimination Statement Staff Directory | Washington State Department of Archaeology & Historic Preservation (DAHP) Skip to main content News & Events About Us Sear…"
Woodland School District 404,WA,https://www.woodlandschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,letics Bell Schedules Calendars Employment Food Service Online Payments Skyward Transcript Requests ESPAÑOL About Who We Are About Woodland Superintendent Scholarship Fund School Accountability Teaching & Learning + Curricular Resources Dyslexia Resources Health Education Employm…,,ty Teaching & Learning + Curricular Resources Dyslexia Resources Health Education Employment & Staff Career Openings Employee of Excellence Staff Directory Staff Resources School Board Board of Directors Board Goals Board Meetings + Upcoming Meetings Meeting Archives Approved Min…
Pend Oreille,WA,http://www.pendoreilleco.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Wahluke School District 73,WA,https://www.wsd73.wednet.edu/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"ed youth groups. Inquiries regarding compliance and/or grievance/complaint procedures may be directed to the school district’s Civil Rights Coordinator at lleitz@wahluke.net ; Title IX Director at jesindola@wahluke.net or (509)932-4477; Section 504/ADA Coordinator, at gcalaway@wa…",,"ograms Athletics Nutrition Services Transportation Enrollment Find Us Wahluke School District 73 411 E Saddle Mountain Dr Mattawa, WA 99349 PHONE: 509-932-4565 FAX: 509-932-4571 Schools Wahluke School District 73 Mattawa Elementary School Saddle Mountain Elementary Morris Schott …"
State Patrol,WA,http://www.wsp.wa.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Clallam,WA,http://www.clallam.net,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Skamania,WA,http://www.skamaniacounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Cheney School District 360,WA,https://www.cheneysd.org/,https://www.cheneysd.org/our-district/department-directory/nutrition-services/nutrition-and-fitness-board-policy,,https://www.cheneysd.org/our-district/department-directory/nutrition-services/nutrition-and-fitness-board-policy,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ain Content Close Menu Search Clear Search Our District About Us Annual Notifications Board of Directors (opens in new window/tab) Board of Directors Overview School Board Meeting Schedule Legislative Priorities Calendars, Cancellations & Delays District Calendar of Events Annual…",,Our Team! Cheney Public Schools 12414 S. Andrus Road Cheney WA 99004 United States (509) 559-4599 (509) 559-4508 Links & Resources Calendar Staff Directory Make a Payment (opens in new window/tab) Red Rover (opens in new window/tab) Navigation Home Our District Academics Communit…
Labor and Industries,WA,http://www.lni.wa.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Transportation,WA,http://www.wsdot.wa.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Information Services,WA,http://des.wa.gov,https://des.wa.gov/policies-legal/risk-management/risk-management-contacts,,https://des.wa.gov/policies-legal/risk-management/risk-management-contacts,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,"Information News Center Boards, Committees & Groups Accessibility & Equity Projects & Initiatives Publications & Reports Forms & Documents Contact Us Menu Strengthening the business of government in Washington State. Let us help you Use Statewide Contracts Buy products and servic…"
Ridgefield School District 122,WA,https://www.ridgefieldsd.org/,https://www.ridgefieldsd.org/page/board-of-directors,,,"Missing: tech, contact (crawl limited)",1,0,0,1,0,0,,,nroll Jobs Skyward Search site Menu Schools Translate Sign in Menu Schools Translate Sign in Skip Gallery End of Gallery ATHLETICS BOARD OF DIRECTORS COMMUNITY EDUCATION FACILITY RENTAL FAMILY RESOURCES PAYMENT PORTAL transcripts TRANSPORTATION + WEATHER Ridgefield School Distric…,,
