district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Cedar Unified School District #25,AZ,https://www.cedarusd.org,,,https://www.cedarusd.org/about-us/administration-staff,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"e listed below. However, if you'd like to contact a specific department for information or assistance, please visit our departments pages . Superintendent's Office Dean Slaga Superintendent/Principal Call Dean Jeddito School Office Julia Chee Nurse Call Julia Nicole Jones Instruc…",,"ion Close message (928) 395.1244 M.P. 408, Highway 264 Translate Calendar Directory Open main menu Home About Us Show sub menu for About Us Contact Us Mission/Vision Our Belief Statements Administration & Staff Departments Show sub menu for Departments Business & Finance Child Fi…"
Chinle Unified School District #24,AZ,http://www.chinleusd.k12.az.us/,,,https://www.chinleusd.k12.az.us/apps/contact/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"t of 1990. Questions, complaints, or requests for additional information regarding these laws may be forwarded to the designated compliance coordinator. Please click here to see Title IX compliance officer contact information and policies. Chinle Unified School District #24 Chinl…",,Title IX - Non-Discrimination + Departments + Athletics » Athletics Home » Wildcat Apparel » Fall Sports » Winter Sports » Spring Sports » Contact Us » Business Department » Curriculum & Instruction + Exceptional Student Services » 504 » Gifted » Child Find » Food Services » Hous…
Pima County Joint Technical Education District #11,AZ,http://pimajted.org,https://pimajted.org/kb/article/non-discrimination-policy/,,https://pimajted.org/about/leadership-and-staff/#jted-staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"lated, the Compliance Officer shall so inform the complaining party in writing. Title IX Requirements, Training for Investigators, Title IX Coordinators and Decision Makers District Title IX Training Activity Trips Attendance Career and Technical Student Organizations (CTSO) Clas…",,tners About Us Give Now Hiring Show Search Close Search Search for: Student Handbook Academic Calendar PowerSchool Login Request Student ID Staff Directory Governing Board Employee Links Attendance Hotline 520-209-2675 Pre-Enroll Now! Premier Career & Technical Education Do What …
Patagonia Union High School District #20,AZ,http://patagonia.echalk.com/home.aspx,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Payson Unified School District #10,AZ,https://pusd10.org/,,https://pusd10.org/technology-and-innovation/,https://pusd10.org/staff/,Missing: policy (crawl limited),2,0,0,1,0,1,,,Country Middle School Julia Randall Elementary Payson Elementary Payson Center for Success-Distance Learning Lil’ Longhorns Preschool Staff Directory First Name: Last Name: Title: Location: District Office Campus Wide Search Payson High School Rim Country Middle School Julia Rand…,,Payson Unified School District 10 Skip to content District Home Enroll Staff Directory Payment Portal Search Menu Schools Close Schools Open Schools Payson High School — Payson Center for Success – Academy Rim Country Middle S…
Hackberry School District #3,AZ,http://www.mycedarhills.info,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Wickenburg Unified School District #9,AZ,https://www.wickenburgschools.org/,https://www.wickenburgschools.org/privacy-policy,https://www.wickenburgschools.org/departments/technology-it,,Missing: contact (crawl limited),4,1,0,1,1,1,tival Foothills Elementary Hassayampa Elementary Vulture Peak Middle School Wickenburg High School Wickenburg Virtual Academy Override WUSD AI Approved Websites In This Section Privacy Policy Privacy Policy Logo Image Logo Title Wickenburg Unified School District #9 101 East Coco…,,al Services Food Service Human Resources Human Resources Calendar Maintenance Maintenance Maintenance Department In Action Special Services Superintendent's Corner Technology (IT) Transportation Home Calendar Employment WUSD Application Process Job Openings/Apply Here (opens in n…,tival Foothills Elementary Hassayampa Elementary Vulture Peak Middle School Wickenburg High School Wickenburg Virtual Academy Override WUSD AI Approved Websites In This Section Privacy Policy Privacy Policy Logo Image Logo Title Wickenburg Unified School District #9 101 East Coco…,) Departments Business Office Educational Services Food Service Human Resources Maintenance Special Services Technology (IT) Transportation Contact Information: Jeremy Courliss Director of Informational Technology 928-668-5341 Logo Image Logo Title Wickenburg Unified School Distr…
Continental Elementary School District #39,AZ,http://continentalesd.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"s. Inquiries concerning Title VI, Title II, Title IX, Section 504, and Americans With Disabilities Act may be referred to Mrs. Roxana Rico, Superintendent (roxana.rico@csd39.org), at 1991 E. Whitehouse Canyon Road, Green Valley, AZ 85614, (520)-625-4581. Legal Disclaimer: Contine…",,"t Registrations. If you are interested in a tour of our campus, and would like to see all the great things Continental has to offer, please contact our front office staff at 520-625-4581. Enthusiastically yours, Mrs. Roxana Rico Your Very Proud Superintendent ADE Statutory Handbo…"
Chino Valley Unified School District #51,AZ,https://www.chinovalleyschools.com/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"ucation (CTE) programs. Inquiries or complaints concerning discrimination may be referred to the District's Compliance Officer. Heidi Wolf, Assistant Superintendent Section 504 & Title IX Compliance Officer 650 E. Center Street Chino Valley, AZ 86323 email: [email protected] phon…",,"h us as some areas of our new site are still ""under construction"". We are also excited to introduce our official CVUSD phone app! One-click contact, on-the-go access, helpful reminders, and important notices wherever you go. Just another way to stay in touch with your cougar prid…"
Prescott,AZ,http://www.prescott-az.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Benson Unified School District #9,AZ,https://www.bensonusd.org,https://www.bensonusd.org/en-US/governing-board-bb059ea7,,https://www.bensonusd.org/en-US/staff,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,ion Skip to Navigation Benson Unified School District Login Calendar Community District Services Governing Board Schools & Programs Faculty Contact Our Mission Statement It is the mission of Benson Schools to provide a safe and welcoming learning community that prepares students …
Duncan Unified School District #2,AZ,https://dusdwildkats.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Flagstaff Unified School District #1,AZ,https://www.fusd1.org/,https://www.fusd1.org/wellness-policy-plan,,https://www.fusd1.org/fusd-schools-contact-information,Missing: tech (crawl limited),2,0,0,1,0,1,,,"mentary Standards Reports FAQs for Standards Based Grading Educator Resources Driver Education Program Eagles Crest Eagles Crest Home Staff Directory Tuition Payments, Statement of Services, and Parent Forms Guidelines for Exclusion from Daycare Parent Testimonials Educational En…",,"ew Elementary Standards Reports FAQs for Standards Based Grading Educator Resources Driver Education Program Eagles Crest Eagles Crest Home Staff Directory Tuition Payments, Statement of Services, and Parent Forms Guidelines for Exclusion from Daycare Parent Testimonials Educatio…"
East Valley Institute of Technology #1,AZ,https://www.evit.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Glendale,AZ,https://www.glendaleaz.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Skull Valley Elementary School District #15,AZ,http://www.skullvalleyschool.org/home,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Tucson,AZ,http://www.tucsonaz.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Agua Fria Union High School District #216,AZ,http://www.aguafria.org,https://www.aguafria.org/our-schools/governing-board/governing-board-policies,,https://www.aguafria.org/departments/academic-services/english-learner-program/program-contacts,Missing: tech (crawl limited),2,0,0,1,0,1,,,Connectedness Resource Stewardship Annual Reports Super Saturday Workshop 25-26 SY Goals at a Glance Vision & Values Strategic Plan Journey Superintendent's Message Credits Employment (opens in new window/tab) Careers/Hiring (opens in new window/tab) Compensation Benefits Employe…,,iring (opens in new window/tab) Compensation Benefits Employee Referral Program Leadership Cadre Curriculum Overview Application Contact Us Staff Directory Attendance Anonymous Tip Line Enroll Facebook Instagram (opens in new window/tab) YouTube LinkedIn (opens in new window/tab)…
Lake Havasu Unified School District #1,AZ,https://www.lhusd.org,,,https://www.lhusd.org/o/lhusd/page/staffportal,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,Career and Technical Education (LHHS) HavasuOnline Additional Links Academic Calendars District Policy Manual Nondiscrimination Notice Website Accessibility Directory Information Opt-Out Form Stay Connected Copyright © 2026 Lake Havasu Unified School District #1. All rights reser…,,cal Education (LHHS) HavasuOnline Additional Links Academic Calendars District Policy Manual Nondiscrimination Notice Website Accessibility Directory Information Opt-Out Form Stay Connected Copyright © 2026 Lake Havasu Unified School District #1. All rights reserved. Powered By A…
Yavapai,AZ,https://yavapaiaz.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Fredonia-Moccasin Unified School District #6,AZ,https://fredonia.org,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,redonia High School Fredonia Elementary School Welcome District Staff Resources Public Notice Distance Learning Plan Finance Administration Directory Link to Existing... Title IX Students/Parents Events Month View Week View Day View Year View Welcome Students Family Links Employm…,,Family Links Employment Applications Application Salary Scales Community Donate & Volunteer Non-resident Tuition Facility Use Lynx Housing Contact us News Current News Archived News Calendar Month View Week View Day View Year View ParentVue Food Services Account and Payment On-Li…
Bowie Unified School District #14,AZ,http://www.bowieschools.org/,https://www.bowieschools.org/page/about-us-governing-board,,https://www.bowieschools.org/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,ecretary 520-847-2545 sandra.reza@bowieschools.org Michell Bolatete RTI Teacher 520-847-2714 michell.aruelo@bowieschools.org Carlton Wilson IT Director 520-847-2703 carlton.wilson@bowieschools.org Gracie Madrid Paraprofessional 520-847-2716 gracie.madrid@bowieschools.org Irma Vas…,,artments Business Food Service Human Resources Show submenu for Human Resources How to Apply Job Openings Student & Family Support Services Contact Us Contact Us More Show submenu for Skip Gallery End of Gallery Our District dining Calendar Registration Athletics Employment Oppor…
Bullhead City Elementary School District #15,AZ,http://www.bullheadschools.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Gilbert,AZ,http://www.gilbertaz.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
