district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Chester,SC,http://www.chestercounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Northern Mariana Islands,SC,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
"Richland 2 (NE Columbia, Spring Valley)",SC,https://www.richland2.org/,https://www.richland2.org/privacy-policy,https://www.richland2.org/departments/information-technology-innovation,,Missing: contact (crawl limited),2,0,0,1,0,1,,,"nd Brandon Reeder are among an elite list of educators in the Emerging Leaders Class of 2024-2025. Read more Barbara Turner District Magnet Director Appointed to National Position Barbara Turner, Director of Magnet Programs for Richland School District Two has been named Region I…",,"environment produces happy and productive students who embrace innovation, collaborative partnerships and learning. Footer Left Footer Logo Contact Link Contact us Socials Twitter Instagram Facebook YouTube Footer Right Footer Contact Info & Links District Contact District Office…"
Orangeburg,SC,http://www.orangeburgcounty.org,,,https://www.orangeburgcounty.org/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,Report a Concern Americans with Disabilities Act Notice (PDF) Disclaimer Freedom of Information Act Privacy Home Staff Directory A A Staff Directory Search the Directory Category: Staff Directory Utilities (Water & Wastewater) Addressing Administration Animal Control Assessor Off…,,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Orangeburg County, SC • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, sav…"
Saluda,SC,http://www.saludacounty.sc.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Lexington 2 (Cayce, Springdale, West Columbia)",SC,https://www.lex2.org,https://www.lex2.org/page/district-policy-personal-electronic-devicesaccessories,https://www.lex2.org/page/technologycomputer-services-staff,https://www.lex2.org/page/technologycomputer-services-staff,,2,0,0,1,0,1,,,gton Two Performing Arts Center Maintenance Procurement Public Information Office Student Services Superintendent's Office Show submenu for Superintendent's Office Superintendent Staff Technology/Computer Services Show submenu for Technology/Computer Services Technology/Computer …,,2027 School District Calendar 2027-2028 School District Calendar District Organizational Chart District Strategic Plan District Report Card Contact Us Departments Show submenu for Departments Departments Business Operations Deputy Superintendent (Operations) Show submenu for Depu…
Greenville,SC,https://greenville.k12.sc.us/,https://greenville.k12.sc.us/Parents/main.asp?titleid=gcspolicies,,https://greenville.k12.sc.us/Parents/main.asp?titleid=contact,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,"Instructional Technology (IT) Operations Planning and Demographics Student Services Strategic Communications and Engagement Transportation Contact Us Greenville County Schools 301 E. Camperdown Way Greenville, South Carolina 29601 Phone: 864-355-3100 infoline@greenville.k12.sc.us…"
Georgetown,SC,http://www.gcsd.k12.sc.us/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"ULE employment opportunities See something, say something BECOME A GCSD VOLUNTEER 2026-2027 Pre-K Registration 2026-2027 MAGNET APPLICATION Contact Us Georgetown County School District 2018 W Church St Georgetown, SC 29440 District Office 843-436-7000 Website Disclaimer Website A…"
Colleton County School District,SC,http://colleton.k12.sc.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Newberry,SC,http://www.newberrycounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Chesterfield County School District,SC,http://www.chesterfield.k12.sc.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Abbeville,SC,http://www.abbevillecountysc.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lexington 3 (Batesburg-Leesville),SC,https://www.lex3.org,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,istrict Three is committed to making its online presence as accessible as possible. Those in need of personalized accessibility support can contact the district's Communications Department. ​ Copyright © 2026 Lexington County School District 3. All rights reserved. Powered By App…
Colleton,SC,http://www.colletoncounty.org,https://www.colletoncounty.org/technology/privacy-policy-colleton-county-app,https://www.colletoncounty.org/technology/privacy-policy-colleton-county-app,https://www.colletoncounty.org/administration,,2,0,0,1,0,1,,,"ommission Meeting 5:30 PM - 6:30 PM View All Events Colleton County, South Carolina 109 Benson St, P.O. Box 157 Walterboro, SC 29488 Phone: Directory Fax: 843-549-7215 Footer Accessibility Contact Webmaster Employment Sitemap Accessibility Social Media Facebook Twitter Youtube Ad…",,"Colleton County, SC Skip to main content Auxilliary Menu Announcements COVID-19 Calendar Pay My Bill Contact Us Colleton County, SC Search Search Menu Administration Departments Animal Services Assessor Auditor Capital Projects Clerk of Court Clerk…"
Spartanburg County School District 7 (Spartanburg Downtown/East),SC,http://www.spart7.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jasper,SC,http://www.jaspercountysc.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lancaster,SC,http://mylancastersc.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Bamberg,SC,http://www.bambergcountysc.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lexington,SC,http://www.lex-co.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lancaster,SC,http://www.lancastercsd.com,,,https://www.lancastercsd.com/staff,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,Sign in Lancaster County School District Staff Search Use the search field above to filter by staff name. Select Departments Jennifer Adams Director Information Technology Information Technology 803-416-8915 Send Message to Jennifer Adams Information Technology Melinda Adams Spec…,,Search site Explore Schools Translate Sign in Explore Schools Translate Sign in Collapse Menu Bus Changes Bus Routes Pay Now Substitute App Contact Us Skip Gallery End of Gallery Contact Us Families Employees Community Libraries Superintendent Search Feedback #OneLancaster Read m…
Bamberg County School District 1,SC,http://bamberg1.schoolinsites.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Darlington,SC,http://www.darcosc.com,https://www.darcosc.com/government/boards_and_commissions/index.php,https://www.darcosc.com/departments/information_technology/index.php,https://www.darcosc.com/how_do_i_(faq)/county_directory/index.php,,2,0,0,1,0,1,,,"ent How Do I? (FAQ) A - Z Website Topics County Directory Online Forms Tax Search, View & Pay Useful Links Search GO How Do I? (FAQ) County Directory County Directory A - Z Website Topics County Directory Online Forms Tax Search, View & pay Useful Links Home » How Do I? (FAQ) » C…",,"ent assists in the technical analysis, design, procurement, implementation, operation and support of computing infrastructure and services. CONTACT INFORMATION FOR THIS DEPARTMENT Information Technology 1 Public Square Darlington, SC 29532 843-398-4100 Send Email DARLINGTON COUNT…"
Berkeley County School District,SC,https://www.bcsdschools.net,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"to imagine End of Gallery Emergency Management Board of Education Careers Bus info Child Nutrition Enrollment Powerschool peachjar From our SUperintendent With dedicated educators, innovative programs, and strong community partnerships, we are continuously striving for excellence…",,"ility Transportation Quick Links Academic Calendar Bell Schedules Board of Education Enrollment Info Handbooks Policy Manual Central Office Staff Directory Find Us Berkeley County School District 107 East Main Street Moncks Corner, SC 29461 Phone: 843-899-8600 Fax: 843-899-8791 D…"
York 4 (Fort Mill),SC,http://www.fort-mill.k12.sc.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
York 1 (York),SC,http://www.york.k12.sc.us/,https://www.york.k12.sc.us/departments/finance/policies-and-procedures,https://www.york.k12.sc.us/departments/technology/staff-directory,https://www.york.k12.sc.us/departments/technology/staff-directory,,2,0,0,1,0,1,,,counts Policy Applying for Free/Reduced Lunch Benefits Online Meal Payment Wellness Policy Summer Feeding Daily Menus Human Resources Staff Directory Employment Opportunities Employee Benefits 403b Retirement Plans EAP (YSD1 Employee Assistance Program) Employee Handbook Certific…,,Closures and Delays District Newsletter In the News Press Releases Request for Information Media Relations Social Media Guidelines Finance Staff Directory Transparency Report Administrative Cost Reporting Procurement Purchase Card (P-card) Federal Guidelines State and District Gu…
Hampton,SC,http://www.hamptoncountysc.org,,,http://www.hamptoncountysc.org/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"t Us 200 Jackson Avenue East Hampton, SC 29924 Phone: 803-914-2100 Fax: 803-914-2107 Quick Links Freedom of Information Agenda Center Staff Directory Employment /QuickLinks.aspx Site Links Site Map Accessibility Copyright Notices /QuickLinks.aspx Government Websites by CivicPlus®…",,"Contact Us 200 Jackson Avenue East Hampton, SC 29924 Phone: 803-914-2100 Fax: 803-914-2107 Quick Links Freedom of Information Agenda Center Staff Directory Employment /QuickLinks.aspx Site Links Site Map Accessibility Copyright Notices /QuickLinks.aspx Government Websites by Civi…"
Berkeley,SC,http://berkeleycountysc.gov,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,ook Twitter Instagram YouTube Open Search Window Departments Explore About Us County Holidays Financial Reports Mission and Vision Municipalities Office Locations Ordinances Staff Directory Infrastructure Building Berkeley Economic Development Greenbelt Keep Berkeley Beautiful So…,,Search Window Departments Explore About Us County Holidays Financial Reports Mission and Vision Municipalities Office Locations Ordinances Staff Directory Infrastructure Building Berkeley Economic Development Greenbelt Keep Berkeley Beautiful Soil and Water Conservation Water & S…
Edgefield,SC,https://edgefieldcounty.sc.gov/,,https://edgefieldcounty.sc.gov/information-technology/,https://edgefieldcounty.sc.gov/contact-us/,Missing: policy (crawl limited),2,0,0,1,0,1,,,"itical cybersecurity infrastructure, the IT Department ensures that county operations remain efficient, secure, and reliable. Peter Detmers Director of Information Technology Cybersecurity Protecting county systems and sensitive data from cyber threats with proactive monitoring a…",,Edgefield County | Home of Ten Governors Welcome About Us Contact Us Quick Links Residents Photo Gallery Calendar of Events County Ordinances FAQs Online Payments Recycling Rentals Spay/Neuter Program Empl…
Anderson County School District 5,SC,https://www.anderson5.net/,https://www.anderson5.net/apps/pages/A5BoardofTrustees,,https://www.anderson5.net/apps/contact/,Missing: tech (crawl limited),2,0,0,1,0,1,,,Carolina Instructional Materials Uniform Parent Complaint Form Office of Instruction and Continuous Improvement District Information School Directory A5 Clear Bag Policy SC Sex Offenders Title IX Compliance & Notice of Nondiscrimination Statement Safe Return to In-Person Instruct…,,Phone: (864) 260-5000 Footer Links Sitemap Social Media Links Facebook Instagram Search Powered by Edlio Mobile Footer Links Calendar News Contact Contact | Anderson School District 5 Skip to main content Anderson School District 5 Committed to Excellence Main Menu Toggle About U…
Chesterfield,SC,http://www.chesterfieldcountysc.com,,,https://www.chesterfieldcountysc.com/county-directory,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,IT REMOTE SUPPORT DEPARTMENTS ABOUT MORE COUNTY CALENDAR JOINT PLANNING COMMISSION INVITATION FOR BID/RFP LISTINGS JOB OPPORTUNITIES COUNTY DIRECTORY Useful Links Finance Invitation for Bid/RFP Listings Select Year Title Documents Posting Date Public Notice Intend To Award Docume…,,r Building Permits Online portal for permitting and plan review. Assessor Records Online portal for searching Assessor Records. 911 Address Contact Codes Enforcement Office at 843-623-9615 to obtain 911 address FOIA FOIA Request Form GIS Geographic Information System © Chesterfie…
