district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Copiah County School District,MS,https://www.copiah.ms,https://www.copiah.ms/about-us/non-discrimination-policy,,https://www.copiah.ms/about-us/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,"TE Contact, 504 Coordinator, Copiah County School District, 254 West Gallatin Street, Hazlehurst, MS 39083, (601) 894-1341 or Jessica Dowd, Director of Personnel, Title IX Coordinator, Copiah County School District, (601) 894-1341, or the Director of the Office of Civil Rights, D…",,pout Prevention & Restructuring Plan Reports & Testing Instructional Management Plan Career and Technical Education School Board Employment Staff Directory Departments Family Resources Show sub menu for Family Resources ActiveParent ActiveStudent Student Handbooks Library Paper O…
Tupelo Public School District,MS,https://www.tupeloschools.com/,https://www.tupeloschools.com/title-ix/policies,,https://www.tupeloschools.com/leadership/about-our-district/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,"Main Menu District Fast Facts About Our District Mission, Goals and Indicators Staff Directory Phone Directory Attendance Zones Leadership Superintendent TPSD 7-Year Profile and Literacy Based Promotion ACT Report Board Policies (opens in new window/tab) TPSD Annual Report Card N…",,"Home - Tupelo Public School District Main Menu District Fast Facts About Our District Mission, Goals and Indicators Staff Directory Phone Directory Attendance Zones Leadership Superintendent TPSD 7-Year Profile and Literacy Based Promotion ACT Report Board Policies (open…"
Hollandale School District,MS,https://www.hollandalesd.org,https://www.hollandalesd.org/departments/exceptional-education/gifted-education/gifted-policy,,https://www.hollandalesd.org/departments/exceptional-education/gifted-education/staff-referral,Missing: tech (crawl limited),2,0,0,1,0,1,,,Learning Survey Senior Dues and Fees Welcome Staff Homepage Bullying Policy Canvas for Teachers Home Directions to Fields Clever for Staff Directory District Internal Requisition ELS Testing Employee Connect (opens in new window/tab) i-Ready (opens in new window/tab) Integrity (o…,,igital Learning Survey Senior Dues and Fees Welcome Staff Homepage Bullying Policy Canvas for Teachers Home Directions to Fields Clever for Staff Directory District Internal Requisition ELS Testing Employee Connect (opens in new window/tab) i-Ready (opens in new window/tab) Integ…
Houston School District,MS,http://www.houstonmsschools.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Leflore County School District,MS,https://www.lefcsd.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Natchez-Adams School District (Adams County),MS,http://www.natchezschools.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Harrison County School District,MS,http://www.harrison.k12.ms.us,,https://www.harrison.k12.ms.us/technologyguide,https://www.harrison.k12.ms.us/linksforstaffandteachers,Missing: policy (crawl limited),2,0,0,1,0,1,,,ectory District Information Strategic Plan Close Navigation 0px × Close DISTRICT INFORMATION Staff Directory Staff Directory ALL HCSD STAFF DIRECTORY Curriculum Human Resources Child Nutrition Special Services Center EL Staff Bel-Aire Elementary Staff Creekbend Elementary & Middl…,,hool Program HCSD Military Star Schools Local Military Schools Liaisons Military Family Links REGISTRATION STAFF Links for Staff & Teachers Staff Directory PowerSchool Admin Login PowerSchool Teacher Login District Programs Status Page Clever Login Account Manager Active Resource…
Quitman County School District,MS,https://www.qcschools.com/,https://www.qcschools.com/privacy-policy,,https://www.qcschools.com/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,(opens in new window/tab) In This Section Home Home pause slideshow play slideshow < > News and announcements Calendars No post to display. SUPERINTENDENT VACANCY ANNOUNCEMENT QCSDAD.pdf Navigation Home Quitman County School District Locations 2024-2025 Calendar 1362 Martin Luthe…,,ration Employment Opportunities District Events Polices Technology Support Ticket (opens in new window/tab) Staff Parents & Students Alumni Contact High School Contact Career & Technical Center Contact Middle School Contact Elementary Contact District Home Schools Quitman County …
Greenwood-Leflore Consolidated School District (Leflore County),MS,https://www.glcsd.org/,https://www.glcsd.org/board,https://www.glcsd.org/technology,https://www.glcsd.org/costaff,,2,0,0,1,0,1,,,"f Human Resources Vacancies Online Application Certified Teacher Salary Scale 1901 Highway 82, West, Greenwood, MS 38930 PH: 1-662-453-4231 Directory Contact Name Department Job Title Phone Number Previous Next We are committed to providing a website that is accessible to the wid…",,Threadgill Elementary School Threadgill Primary School Handbooks Main Navigation Menu Home About 2025-2026 District Calendar Central Office Staff Directory District Report Administration Board Board Members Board Policies Board Schedule Live Stream Departments Alternative School …
Hinds County Agricultural High School,MS,http://www.hindsahs.k12.ms.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Alcorn School District,MS,https://www.alcornschools.org/,https://www.alcornschools.org/o/alcorn-school-district/page/school-board,https://www.alcornschools.org/o/alcorn-school-district/page/technology,https://www.alcornschools.org/o/alcorn-school-district/page/asd-contacts,,1,0,0,0,0,1,,,,,"lations. Any person having inquiries concerning the Alcorn School District’s compliance with Title II, IV, VI and IX and/or Section 504 may contact: Alcorn School District Federal Programs office at 662-286-3202 Alcorn School District 504 Coordinator at 662-286-7762 Copyright © 2…"
Lauderdale County School District,MS,https://www.lauderdale.k12.ms.us,,,https://www.lauderdale.k12.ms.us/apps/staff/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,County School District Mobile header navigation toggle Our District 2025-2026 Calendar 2026-2027 Calendar About Us Board of Education Staff Directory LCSD Strategic Plan Military Star Schools Portrait of a Career-Ready Student Employment Opportunities Active Applicant Substitute …,,rdale County School District Mobile header navigation toggle Our District 2025-2026 Calendar 2026-2027 Calendar About Us Board of Education Staff Directory LCSD Strategic Plan Military Star Schools Portrait of a Career-Ready Student Employment Opportunities Active Applicant Subst…
Carroll County School District,MS,http://www.ccsd.ms/,https://www.ccsd.ms/schoolboard,https://www.ccsd.ms/technology,https://www.ccsd.ms/directory,,2,0,0,1,0,1,,,"isabled, regardless of the severity of their disabilities, and who are in need of special education and/or related services. The Child Find Director works with the local Headstart, Human Services, Health and Mental Health agencies, as well as local education agencies, and physici…",,"ls 79 Teachers 876 Students Find Us 603 Lexington Street Carrollton, MS 38917 PH: 1.662.237.9276 Fax: 1.662.237.9703 Footer Menu Employment Staff Directory Parents Students The Carroll County School District is in compliance with Title VI of the Civil Rights Act of 1962, includin…"
Mississippi School of the Arts,MS,http://www.msabrookhaven.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jefferson County School District,MS,https://www.jcpsd.net,https://www.jcpsd.net/schoolboard,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"chmark/Nine Weeks Exam Window CLOSES End of the Nine Weeks MARCH 16 Spring Break View All Latest News Jefferson County School Board Extends Superintendent Hammitte’s Contract Through 2029: A Testament to Progress, Purpose, and Possibility In a powerful show of confidence and cont…",,"ire alternative means of communication for program information (e.g., Braille, large print, audiotape, American Sign Language, etc.) should contact the State or local Agency that administers the program or contact USDA through the Telecommunications Relay Service at 711 (voice an…"
Covington County School District,MS,http://www.covingtoncountyschools.org,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"office located at 108 Main Street, Collins, MS. The mailing address is P.O. Box 1269, Collins, MS 39428. Inquiries concerning Title VI and Title IX should be directed to Mrs. Patricia Runnels, Title IX Coordinator, at (601) 765-1465. Mrs. Runnels is located at 1211 South Dogwood …",,on Covington County School District Login Our Schools Our Schools Our Schools Our Schools District Information Departments Schools Calendar Staff Directory Employment MS Succeeds Report Card Red Button Campaign ABOUT Educate~Motivate~Graduate The Covington County School District …
East Tallahatchie School District,MS,http://www.etsd.k12.ms.us/,https://www.etsd.k12.ms.us/medicationpolicy,,https://www.etsd.k12.ms.us/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,"atchie School District, we believe that every family, every child, and every voice plays a vital role in shaping our schools and future. As Superintendent, my focus is clear: to lead with purpose, serve with compassion, and make decisions that always put students first. That mean…",,School Charleston High School Resources Parent Resources Active Parent/Online Registration Active Student Test Taking Tips Forms Classworks Contact Previous Next EMPLOYMENT LUNCH MENUS ADMINISTRATION REGISTRATION HANDBOOK CALENDAR Upcoming events View Calendar MAR 02 3rd 9 Weeks …
Chickasaw County School District,MS,https://chickasaw.k12.ms.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Clarksdale Municipal School District,MS,https://www.cmsdschools.org/,https://www.cmsdschools.org/departments-programs/doitservices/department-of-information-technology-services/privacy-policy,https://www.cmsdschools.org/departments-programs/doitservices/department-of-information-technology-services/privacy-policy,https://www.cmsdschools.org/our-district/staff-directory,,2,0,0,1,0,1,,,"ss on this website please email our website designer, Bridney Skipper - bskipper@cmsd.k12.ms.us . Privacy Policy (opens in new window/tab) Site Map Accessibility Powered by Finalsite Staff Directory Skip To Main Content Close Menu Search Clear Search Our District District Report …",,e Municipal School District Skip To Main Content Close Menu Search Clear Search Our District District Report Card (opens in new window/tab) Staff Directory Strategic Plan 2025-2028 District Calendars Home (opens in new window/tab) Professional Development Calendars Board of Trust…
