district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Delaware,IN,https://www.co.delaware.in.us/,https://www.co.delaware.in.us/department/board.php?structureid=238,,https://www.co.delaware.in.us/egov/apps/staff/directory.egov,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ioners Meeting Mar 02 | 9:00 am | Delaware County Commissioners (Court Room 309A) View All Events calendar © 2026 Delaware County, IN Staff Directory Office Hours: Monday - Friday 8:30 am - 4:00 pm Site Design and Content Management by CORE Business Technologies Privacy Policy Ac…",,"ommissioners Meeting Mar 02 | 9:00 am | Delaware County Commissioners (Court Room 309A) View All Events calendar © 2026 Delaware County, IN Staff Directory Office Hours: Monday - Friday 8:30 am - 4:00 pm Site Design and Content Management by CORE Business Technologies Privacy Pol…"
Newton,IN,http://www.newtoncounty.in.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jeffersonville,IN,http://www.cityofjeff.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Porter,IN,http://www.porterco.org,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"e@portercountyin.gov. Emails sent to the old addresses will continue to forward temporarily, but residents and partners should update their contact lists. Why This Matters Local government websites and email communications are critical touchpoints for public services, including t…"
Fishers,IN,http://www.fishers.in.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Daleville Community Schools,IN,http://www.daleville.k12.in.us/education/district/district.php?sectionid=1,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
LaPorte,IN,http://www.laportecounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Clark-Pleasant Community School Corporation,IN,http://www.cpcsc.k12.in.us,https://www.cpcsc.k12.in.us/page/board-of-school-trustees,,,"Missing: tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hamilton Southeastern Schools,IN,http://www.hse.k12.in.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jasper,IN,http://www.jaspercountyin.gov,,,https://www.jaspercountyin.gov/government/directory,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"dents Electronic Sign Request Local Links Online Payments Permits & Procedures Services Index Township Trustees Voting and Elections Search Directory NAME/TITLE DEPARTMENT PHONE Animal Control Animal Control 219-866-5756 Bontreger, Rein - President County Commissioners 219-863-30…",,"IN - Home Monday - Friday 8am - 4pm C.S.T. 219-866-4930 115 W Washington St Rensselaer, IN 47978 fab fa-facebook-square Hours, Location, & Contact Monday - Friday 8am - 4pm C.S.T. 219-866-4930 115 W Washington St Rensselaer, IN 47978 fab fa-facebook-square Home Government County …"
Lawrence,IN,https://lawrencecounty.in.gov/,,,https://lawrencecounty.in.gov/Directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,save form progress and more. Website Sign In Search Government Justice Community Resources Home Staff Directory Staff Directory Search the Directory Category: Staff Directory Assessor Auditor Child Services Child Abuse and Neglect Hotline Child Support Medicaid Services Report Ch…,,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Lawrence County, IN • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, save …"
Hamilton,IN,http://www.hamiltoncounty.in.gov,,,https://www.hamiltoncounty.in.gov/Directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,teran Services 317-776-9610 Voter Registration 317-776-9632 Weights & Measures 317-776-8407 Address Holder http://www.hamiltoncounty.in.gov/directory.aspx?DID= Live Edit Make a Payment Elections and Voting Road Construction GIS and Maps Inmate Lookup Connect With Us Quick Links T…,,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Hamilton County, IN • CivicEngage Skip to Main Content Important Information Government Services Community Search Contact …"
New Albany-Floyd County Consolidated School Corporation,IN,https://www.nafcs.k12.in.us/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,ortation Skip to Navigation New Albany Floyd County Schools Login NAFCS Information NAFCS Schools ENROLL @ NAFCS NAFCS Departments Calendar Contact Us ​ NAFCS QUICK LINKS NAFCS PUBLIC NOTICES/ADVERTISEMENTS NAFCS TV (YOU TUBE) NAFCS Facility Usage Request NAFC Education Foundatio…
Sullivan,IN,http://www.sullivancountyindiana.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Marshall,IN,http://www.co.marshall.in.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Noblesville Schools,IN,https://www.noblesvilleschools.org/,,https://www.noblesvilleschools.org/departments/technology,https://www.noblesvilleschools.org/our-district/staff-directory,Missing: policy (crawl limited),2,0,0,1,0,1,,,"ary Maps Staff Search All Are Welcome Breadcrumb Home Our District Staff Directory Interior Fixed Image BannerCourthouse1500x9151.png Staff Directory Staff Search To search the directory within this school or the entire district, please visit Staff Search. 1 2 3 … next set of pag…",,e Search Search Clear Search Mobile Main Nav Home Our District Why Noblesville Schools Our Vision and Mission Calendars Offices and Schools Staff Directory School Boundary Maps Staff Search All Are Welcome Academics Teaching and Learning Curriculum Assessments Special Education E…
Morgan,IN,https://morgancounty.in.gov/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"Morgan County, Indiana Menu Government Residents Visitors Permits Business Help Me Find Search Submit Start Content Contact Us Daree Fry , Director 180 S Main St Suite 215 Martinsville, IN 46151 Get Directions Phone: (765) 342-5364 Staff Directory Topics of Interest ADA, EEOC & T…",,"nt Contact Us Dan Bastin , Treasurer Treasurer's Office 180 S Main St Suite 129 Martinsville, IN 46151 Get Directions Phone: (765) 342-1048 Staff Directory Hours: Monday - Friday 8:00 a.m. - 4:00 p.m. Open during lunch hours Closed on major holidays Topics of Interest Alcohol And…"
Michigan City,IN,http://www.emichigancity.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Ripley,IN,http://www.ripleycounty.com,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"ur items. Be sure you are able to load large items when picking them up. All bids must be placed on this page and include item number, bid, contact information including full name, day time phone and e-mail. We do not accept any bids by phone. All bids must be in even dollar amou…"
Hendricks,IN,http://www.co.hendricks.in.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
