district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Burlington County Special Services School District – Special Services,NJ,http://www.bcsssd.k12.nj.us,https://www.bcsssd.k12.nj.us/page/board-of-education,,https://www.bcsssd.k12.nj.us/page/district-administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,267-4226 Email: Dr. Bobbie Downs Mr. Eder Joseph Assistant Superintendent (609) 267-4226 8686 Email Mr. Eder Joseph Mr. Jack Dooley Acting Director of Technology (609) 267-4226 8669 Email Mr. Jack Dooley Mr. Darryl Williams Director of Security (609) 267-4226 8405 Email Mr. Darry…,,of Education Show submenu for Board of Education Bylaws and Policies for the Board of Education About Us Show submenu for About Us About Us Contact Us History of BCSSSD V.I.B.E District Highlights School Performance Report District Goals Welcome to BCSSSD Admissions Admissions De…
Howell Township Public Schools,NJ,http://www.howell.k12.nj.us,,,https://www.howell.k12.nj.us/apps/contact/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,riod Dates NJ QSAC District Performance Review Community Facility Use/Room Reservations Board of Education Board of Education Board Members Directory District Policy Committee Assignments Board Meeting Live Stream/Recordings Board Meeting Participation Board of Education Agenda S…,,Reporting Assessment NJ Parent Link Howell Township Educational Foundation Digital Citizenship Resources Marking Period Dates PTA/PTO/SEPAG Contact Information “Register Ready” Special Needs Registry for Disasters Students STAR Late Bus Sign-Up Clever Athletics Student and Parent…
Upper Pittsgrove School District,NJ,http://upperpitts.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Commercial Township School District – K-8,NJ,http://www.commercial.k12.nj.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hawaii,NJ,http://www.hawaiipublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Seaside Park Borough School District - Non-operating [ 5 ],NJ,https://www.seasideparknj.org/,,,https://www.seasideparknj.org/departments/police/contact_us.php,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"Office of the Clerk Zoning Department Borough Hall Offices 1701 North Ocean Ave Seaside Park, NJ 08752 Mayor & Council Administrator Clerk Chief Financial Officer Tax Collector Registrar of Vital Statistics Welfare Director Marina Office Water & Sewer Collector Planning Board Sec…",,ns Meeting Schedule Chapter 200 Development Regulations Master Plan Police Administration Crime Prevention Community Outreach FAQ's Parking Contact Us Public Works Garbage & Recycling Collection Information & Calendar Recycling Center Recycling Events Stormwater Education & Manag…
South Brunswick Public Schools,NJ,https://www.sbschools.org/,,,https://www.sbschools.org/page/contact-information,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"f Gallery District weekly news Food Services HIB My schoolbucks Registration SB Ed Foundation School Hours Staff Dr. Bernard F. Bragen, Jr. Superintendent Dear South Brunswick School Community, It is with great pride and sincere appreciation that I introduce myself as the newly a…",,st Management SDS Central File SBSD Indoor Air Quality Program 2018-19 School Water Testing Results 2024 Business Show submenu for Business Contact Information Budget Information Annual Comprehensive Financial Report FY24 Bylaws and Policies Content RFP's and BIDS Open Public Rec…
Sussex-Wantage Regional School District – Regional,NJ,http://www.swregional.org,https://www.swregional.org/district/covid-19-coronavirusguidance/proposed-restart-and-recovery-policy-1648,,https://www.swregional.org/district/district-contact-information,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ne 25, 2026 Notice of any additions to the above schedule or changes in the time, date, or place of any scheduled meeting will be posted in designated locations and mailed to the newspaper in advance, as required by law. Logo Image Logo Title Sussex-Wantage Regional School Distri…",,chool Newsletters School Supply Lists Social Networking Safety for Children (opens in new window/tab) Social Networking Safety for Children Staff Directory Special Education Parent Advisory Group (SEPAG) Team & Teacher Websites When Should My Child Stay Home? (opens in new window…
Warren County Vocational School District,NJ,http://www.wctech.org/wcts/,,,https://www.wctech.org/wcts/Staff%20Forms/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,ch.org Principal / Director of Special Services Jeff Tierney tierneyj@wctech.org Assistant Principal William Horn hornw@wctech.org Athletic Director Erik Bowers bowerse@wctech.org Business Office Title Name Email Phone Admin Assistant to Superintendent Anne Drescher dreschera@wct…,,"support in the form of a donation is always appreciated, welcomed, and tax deductible. If you would like further information, feel free to contact the Warren Tech PTSA. We wish you and your student a great school year! The 2024-2025 WCTS PTSA Executive Board Maryanne Turdo, Presi…"
Washington Township School District – PreK-8 (non-operating) [ 5 ],NJ,https://www.wtgreenbank.k12.nj.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Shiloh Borough (Cumberland County),NJ,https://shilohborough.com/,,,https://shilohborough.com/contacts/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"surer joycemedia 2019-05-16T12:10:08+00:00 Ronald Campbell, Sr., RMC (856) 455-3054 clerk@shilohborough.com [br] The Municipal Clerk is the chief administrative official for the municipality and ensures that municipal records are created and maintained in a professional manner an…",,"ere wash hands often for at least 20 seconds continue to practice social distancing If any Shiloh resident has concerns or questions please contact mayor@shilohborough.com Borough of Shiloh, New Jersey Mayor Brad Campbell and Borough Council President Dallus Bruso and Council Mem…"
River Vale Public Schools – PreK-8,NJ,http://www.rivervaleschools.com,https://www.rivervaleschools.com/o/rvpsd/page/boe-home-page,,https://www.rivervaleschools.com/o/rvpsd/page/contacts-hours-of-operation,Missing: tech (crawl limited),2,0,0,1,0,1,,,"nd New Jersey laws pertaining to schools. The Board of Education does not operate the district on a day-to-day basis; that's the job of the Superintendent. Rather, the Board Members' responsibilities are to set the policies, goals and objectives for the district and it holds the …",,"ts BOE BOE Resources Resources More Show submenu for Skip Gallery Your browser does not support videos. End of Gallery Canvas Parent Portal Contact Us Our District Departments BOE Resources go green folder Find Us River Vale Public School District 609 Westwood Avenue River Vale, …"
City of Burlington Public School District – PreK-12,NJ,http://www.burlington-nj.net/,,,https://www.burlington-nj.net/apps/contact/,"Missing: policy, tech (crawl limited)",4,1,0,1,1,1,"hools"" Newsletter Student School Dress Code Photo Release Form School Safety Data (formerly Violence and Vandalism) Public Reports District Artificial Intelligence Policy & Plan Emotional Wellness Support Referral Form Therapy Dog Opt-Out Letter Safety & Security Procedures for H…",,"ted as needed. If you believe your child may be eligible for a 504 Plan, please contact your child's Guidance Counselor or the District 504 Coordinator. City of Burlington Public Schools City of Burlington Public Schools 518 Locust Avenue, Burlington, NJ 08016 Phone: (609) 387-58…","hools"" Newsletter Student School Dress Code Photo Release Form School Safety Data (formerly Violence and Vandalism) Public Reports District Artificial Intelligence Policy & Plan Emotional Wellness Support Referral Form Therapy Dog Opt-Out Letter Safety & Security Procedures for H…",Behavioral Interventions and Supports (PBIS) » COVID-19 Health & Safety Protocols + Employment » Job Posting List » Applitrack + Contact » Staff Directory » Contact Us » Directions » Communications Coordinator » FAQ Skip to content Skip to menu Proud Recipients of the 2021-2023 N…
Millville Public Schools – PreK-12,NJ,http://www.millville.org/,https://www.millville.org/apps/pages/board/,,https://www.millville.org/apps/staff/,Missing: tech (crawl limited),2,0,0,1,0,1,,,(HIB) Post-Secondary Success Registration School Meals Special Education Student Handbooks Connect Contact Us Questions & Concerns District Directory District Fundraisers Social Media Directory Community Flyers Community Resources Food Assistance Resources Beyond the Bell Millvil…,,Millville Public Schools Skip to main content Millville Public Schools Main Menu Toggle About Us Staff Directory About the District Schools of Character Strategic Direction Board of Education Board Meetings Board Policies District Calendar Live Events…
Helmetta (Middlesex County),NJ,http://www.helmettaboro.com/,,,https://www.helmettaboro.com/cn/ContactInfo/?tpid=10562,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,ck out our latest Happenings in Helmetta! Home Mayor's Online Office Borough Mayor & Council Spotswood Schools Helpful Links Search the Website Photo Gallery Contacts Directory - Borough of Helmetta Skip to main content Borough of Helmetta Home | Announcements | Mayor & Council |…,,Borough of Helmetta Skip to main content Borough of Helmetta Home | Announcements | Mayor & Council | Contact Us | Departments Departments Home Page 2026 PLANNING BOARD MEETINGS 2026 PLANNING BOARD MEETINGS Home AGENDA AND MINUTES Administration Adm…
