district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Northern Mariana Islands,OH,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
"Allen East Local School District , Lafayette",OH,http://ae.k12.oh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jackson,OH,http://jacksoncountygovernment.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Gallipolis City School District , Gallipolis",OH,https://www.gallipoliscityschools.k12.oh.us,https://www.gallipoliscityschools.k12.oh.us/board-of-education,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,dance Department Preschool Preschool Calendar Preschool Handbook Parent Notice Parent Options Preschool Registration Special Services Staff Directory Superintendent Technology Title 1 Federal Funds Information for Parents Transportation Treasurer/Finance School Based Medicine Dis…,,am Guidance Department Preschool Preschool Calendar Preschool Handbook Parent Notice Parent Options Preschool Registration Special Services Staff Directory Superintendent Technology Title 1 Federal Funds Information for Parents Transportation Treasurer/Finance School Based Medici…
"Stow-Munroe Falls City School District , Stow",OH,http://www.smfschools.org/,https://www.smfschools.org/board-of-education/smf-board-of-education,https://www.smfschools.org/departments/operational-services/technology-department,https://www.smfschools.org/administration/superintendents-welcome,,2,0,0,1,0,1,,,indow/tab) Stow Schools Foundation Wall of Fame Nomination Form (opens in new window/tab) Superintendent's Office (opens in new window/tab) Superintendent's Cabinet Superintendent's Committees Board of Education SMF Board of Education Board Members Meetings/Agendas/Minutes Polici…,,on Playbook Optional Flu Clinic Orchestra PaySchools Central Progress Book (opens in new window/tab) School Menus (opens in new window/tab) Staff Directory Title I Transportation (opens in new window/tab) Students Staff District Committees E-Mail (opens in new window/tab) Staff D…
Ashtabula,OH,http://www.co.ashtabula.oh.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Benton-Carroll-Salem Local School District , Oak Harbor",OH,http://www.bcs.k12.oh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Toledo City School District , Toledo",OH,http://www.tps.org/,https://www.tps.org/board_of_education/meetings_policies,,https://www.tps.org/contact_us,Missing: tech (crawl limited),2,0,0,1,0,1,,,ew Student Enrollment Returning Student Enrollment Kindergarten Enrollment Resources Safety & Security Social and Emotional Learning Street Directory Student Data and Privacy Title I Transcript Requests Wellness Policy Departments Administration Business Division Career Technolog…,,ulum and Instruction Staff - Education Development Department Team Structure Guidebook Early Childhood Early Childhood Locations Crossgates Staff Directory Facilities Management Fine Arts Food Service And Child Nutrition Human Resources Employment Opportunities Why TPS? Title IX …
"Fairless Local School District , Navarre",OH,http://www.fairlesslocalschools.org,https://www.fairlesslocalschools.org/district/board-of-education,,https://www.fairlesslocalschools.org/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"es 6-12 utilize one-to-one computing. 73 CCP credits offered at Fairless High School 96% Fairless High School has a graduation rate of 96%. Superintendent Michael Hearn ""There is so much to be excited about in the Fairless School District! A committee of community members, parent…",,"learn, live, work, and grow."" - Michael Hearn Logo Image Logo Title Fairless Local Schools Get In Touch 800 7th St SE Brewster OH 44613 USA Phone: (330) 767-3577 Fax: (330) 767-3298 Links & Resources Calendar Connect With Us Site Map Powered by Finalsite BOARD OF EDUCATION - Fair…"
"Otsego Local School District , Tontogany",OH,http://www.otsego.k12.oh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Northridge Local School District , Dayton",OH,https://www.northridge.k12.oh.us/,https://www.northridge.k12.oh.us/privacy-policy,,https://www.northridge.k12.oh.us/about-us/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,partments Administration Facilities Food Services Instructional Services Maintenance Preschool Safety School Resource Officer Program (SRO) Superintendent/CEO Technology Transportation Treasurer/CFO Special Education Military Families Home-Educated Students District Home Schools …,,Calendar- Events District Newsletter District Profile Northridge Veterans Organizational Chart Public Annual Notices Questions and Concerns Staff Directory School Profiles (opens in new window/tab) Board of Education Board of Education Agenda and Minutes (opens in new window/tab)…
"Gallia County Local School District , Gallipolis",OH,https://www.gallialocal.org,https://www.gallialocal.org/page/board-of-education,https://www.gallialocal.org/page/technology,,Missing: contact (crawl limited),2,0,0,1,0,1,,,Us History Board of Education Mission and Vision Departments Show submenu for Departments Departments Buildings & Grounds Federal Programs Superintendent Support Services Preschool Talented & Gifted Technology Instructional Services/Curriculum Treasurer / Business Food Service Pa…,,"Opportunities for Each Child Grant If you have any questions regarding grant funding or the programs it operates, please do not hesitate to contact me,. Thank You, Sandra Plantz Homeless Info & Resources INTRODUCTION Children and youth experiencing homelessness face unique challe…"
"Pike-Delta-York Local School District , Delta",OH,http://www.pdy.k12.oh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Perry Local School District , Perry",OH,http://www.perry-lake.k12.oh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Cambridge City School District , Cambridge",OH,http://www.cambridge.k12.oh.us/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"nd pointed address that includes ""www"" to WWWizer. We are not controlling their servers and unable to help in this case. If you can, please contact site owners and tell them about this problem. Sorry! wwwizer.com Naked Domain Redirect is a service that redirects from 'naked' doma…"
Lorain,OH,http://www.loraincounty.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Morrow,OH,http://www.morrowcountyohio.gov,,,https://www.morrowcountyohio.gov/how_do_i_/contact_us/index.php,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,n Somali Spanish Swahili Swedish Tamil Telugu Thai Turkish Ukrainian Urdu Vietnamese Welsh Yiddish Yoruba Zulu Search Related Pages Village Directory Auditor Board of Elections Child Support Children Services Clerk Of Courts Commissioners Common Pleas Court Dog Warden Domestic Co…,,"o.morrow.oh.us - we look forward to meeting you. Services Human Resources Elected Officials GIS in Morrow County Zoning Forms Public Safety Staff Directory Share this page × Share this page Copy and paste this code into your website. <a href=""http://www.morrowcountyohio.gov/"">You…"
"Springfield Local School District , Holland",OH,http://www.springfieldlocalschools.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Licking Heights Local School District , Pataskala",OH,http://www.lhschools.org,https://www.lhschools.org/board.aspx,,https://www.lhschools.org/Staff.aspx,Missing: tech (crawl limited),2,0,0,1,0,1,,,"he schools are achieving the educational purposes for which they are being operated and to concern itself with the reports submitted by the Superintendent regarding the conditions, efficiency, and needs of the schools to invite the fullest cooperation of the citizens of the commu…",,"que information required by your district to find your student. Repeat this step to add additional students. If you need assistance, please contact your school district. Once you have linked to a student, click on that student's profile to see all relevant transportation informat…"
Pickaway,OH,http://www.pickaway.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Dublin City School District , Dublin",OH,https://www.dublinschools.net/,https://www.dublinschools.net/boe/contact-the-board,,https://www.dublinschools.net/boe/contact-the-board,Missing: tech (crawl limited),2,0,0,1,0,1,,,cement Council (SEAC) Special Education Glossary And Acronyms Parent Rights in Special Education Service Delivery Options Special Education Coordinators Transition Services Additional Resources 504 Plans Work Permits Contact Student Services Superintendent Deputy Superintendent E…,,k Links Transportation Winter Weather Procedures Community Redistricting Contact Contact a School District Administration Report an Absence Staff Directory Student Portal Staff Portal District News Quick Links Facebook (opens in new window/tab) Instagram (opens in new window/tab)…
"Cincinnati Public Schools , Cincinnati",OH,https://www.cps-k12.org/,https://www.cps-k12.org/our-district/diversity-equity-inclusion/supportive-policies,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,ility and Growth Phase 1: 2024-25 Phase 2: 2025-26 School Selections & Pathways 2024-2025 Impact Report Treasurer (opens in new window/tab) Chief Audit Executive (opens in new window/tab) Our Programs English Language Arts (ELA) Reading Intervention Curriculum Adoption Fine Arts …,,"School Find a School School Profiles Customer Care Center Student Records Student Privacy Project Connect Departments Financial Information Contact Information and Introduction Treasurer Michael Gustin Finance Videos, Newsletters & Town Halls Five-Year Forecast Financial Reports …"
"Ravenna School District , Ravenna",OH,http://www.ravennaschools.us/home,https://www.ravennaschools.us/title-ix-policy/,,https://www.ravennaschools.us/staff/,Missing: tech (crawl limited),2,0,0,1,0,1,,,ling Curriculum and Assessment Employment Enrollment and Registration Food Services Hall of Fame Health Services Libraries Student Services Superintendent’s Office Technology Transportation Treasurer Parents Afterschool Child Enrichment (ACE) Band Program Communications Safer Ohi…,,Students Safer Ohio School Tip Line CRISIS TEXT LINE 988 Suicide and Crisis Lifeline Google Classroom Home Access Center Staff Staff Login Staff Directory Select Page Home It Starts Here Education in a Community That Cares Learn More QUICK LINKS ATHLETICS ATHLETICS CALENDAR CALEN…
"Woodridge Local School District , Peninsula",OH,http://www.woodridge.k12.oh.us,,,https://www.woodridge.k12.oh.us/apps/staff/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,Academic Services Gifted Programming Pupil Services English Learners (EL) Technology Transportation Food Services Job Opportunities At Risk Coordinator Title IX Resources Maps & Directions Contact Us Six District Compact Military Family Resources Woodridge Alumni Woodridge Founda…,,tendent's Message Board of Education District Reports & Data District Communications District Forms District News District Policy Faculty & Staff Directory Treasurer Registration Academic Services Gifted Programming Pupil Services English Learners (EL) Technology Transportation F…
