district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Lakeland UHS School District,WI,https://www.luhs.k12.wi.us/,https://www.luhs.k12.wi.us/page/board-policy,,https://www.luhs.k12.wi.us/staff,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,n School Board Elections Board Members Board Meeting Agendas and Minutes Board Policy High School Office Open Enrollment Academic Calendars Staff Directory Families Families Academics Show submenu for Academics Academics Graduation Requirements Departments Show submenu for Depart…
Kewaunee,WI,http://www.kewauneeco.org,https://www.kewauneeco.org/government/boards_and_committees/,,https://www.kewauneeco.org/contact-us/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"tenance Technician Maintenance 613 Dodge Street Kewaunee, WI 54216 Phone: (920) 388-7155 Fax: (920) 388-7101 Rachel Bauer, RDN, CD, CLS WIC Director/Registered Dietitian/Certified Lactation Specialist Public Health 810 Lincoln Street Kewaunee, WI 54216 Phone: (920) 388-7160 Click…",,"Official Kewaunee County, Wisconsin website Calendar News Contact Us Government Agendas & Minutes Boards & Committees Employee Directory Employment Forms & Documents Services Live & Recorded Meetings Count…"
McFarland School District,WI,https://www.mcfarland.k12.wi.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Mequon,WI,http://www.ci.mequon.wi.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Madison Metropolitan School District,WI,https://www.madison.k12.wi.us/,https://www.madison.k12.wi.us/families/district-policy-guides,,https://www.madison.k12.wi.us/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,ppening around MMSD; and upcoming Board calendar. Weekly Update to the Board of Education 8-1-2024 This week's update include a letter from Superintendent Dr. Gothard. Other updates include a high-intensity partnerships update; a construction update; great things happening around…,,arch Clear Search Quicklinks Calendar Careers ClassLink (opens in new window/tab) Menus School & Community Flyers (opens in new window/tab) Staff Directory Transportation Tech Support Select a School Elementary Schools Middle Schools High Schools Elementary Schools Anana Chávez C…
Hudson,WI,http://www.ci.hudson.wi.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
New Lisbon School District,WI,http://www.newlisbon.k12.wi.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
West Allis,WI,http://www.ci.west-allis.wi.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Walworth,WI,http://www.co.walworth.wi.us,https://www.co.walworth.wi.us/124/Privacy-Policy,,https://www.co.walworth.wi.us/directory.aspx,Missing: tech (crawl limited),2,0,0,1,0,1,,,n In Government Departments Community Services How Do I... Search Home Staff Directory Staff Directory Search the Directory Category: Staff Directory Child Support Services Clerk of Circuit Court Branch I Branch II Branch III Branch IV Circuit Court Commissioner Collections Crimi…,,"fice Veterans Service Office Facebook /QuickLinks.aspx Contact Us Walworth County Government Center 100 W Walworth Street Elkhorn, WI 53121 Staff Directory Quick Links Employee Self Service Employee Information Portal /QuickLinks.aspx FAQs Where do I check juror status? Where do …"
Muskego-Norway School District,WI,http://www.MuskegoNorway.org,https://www.muskegonorway.org/about/boe_meettheboard.cfm,,https://www.muskegonorway.org/about/districtstaffdirectory.cfm,Missing: tech (crawl limited),2,0,0,1,0,1,,,District Overview Administrators Attendance Boundary Lines Compass Award District Performance Non-discrimination Notice School Safety Staff Directory Strategic Plan Summer Hours Title IX Website Accessibility Communications Community Newsletter District Newsletters Superintendent…,,About District Overview Administrators Attendance Boundary Lines Compass Award District Performance Non-discrimination Notice School Safety Staff Directory Strategic Plan Summer Hours Title IX Website Accessibility Communications Community Newsletter District Newsletters Superint…
Great River Road,WI,https://experiencemississippiriver.com/,,https://experiencemississippiriver.com/itineraries/,https://experiencemississippiriver.com/contact-us/,Missing: policy (crawl limited),2,0,0,1,0,1,,,"ted the MRPC Endowment Fund to help sustain the mission of the MRPC for generations to come. The Endowment is directed by the MRPC Board of Directors and is held and invested by the Community Foundation of Greater Dubuque, a qualified foundation in compliance with national standa…",,"validation purposes and should be left unchanged. Email Address * Instagram @greatriverroad Home About Us Media Requests Group Travel FAQs Contact Us Privacy Policy Link to us Support Submit Events MRPC Office: PO BOX 7395 | Madison, WI 53707-7395 866-763-8310 | [email protected]…"
Manitowoc,WI,https://www.manitowoc.org/,,,https://www.manitowoc.org/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"Book! Manitowoc Public Library Winter Reading Program 2026: Warm Up to a Good Book! Read On View All Events /Calendar.aspx Contact Us Staff Directory 900 Quay Street Manitowoc, WI 54220 City Hall Hours: Monday - Thursday: 7:30 AM - 5 PM Friday: 7:30 AM - 11:30 AM Quick Links Vote…",,"Good Book! Manitowoc Public Library Winter Reading Program 2026: Warm Up to a Good Book! Read On View All Events /Calendar.aspx Contact Us Staff Directory 900 Quay Street Manitowoc, WI 54220 City Hall Hours: Monday - Thursday: 7:30 AM - 5 PM Friday: 7:30 AM - 11:30 AM Quick Links…"
Brookfield,WI,https://www.ci.brookfield.wi.us/,,,https://www.ci.brookfield.wi.us/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"ents /Calendar.aspx BROOKFIELD CITY HALL 2000 N. Calhoun Road Brookfield, WI 53005 Phone: 262-782-9650 Fax: 262-796-6671 City Phone & Email Directory Business Hours QUICK LINKS Visit Brookfield Education Elmbrook Humane Society Interactive Web Map How to use the web Map City of B…",,"n More Frequently Asked Questions Learn More Parks, Recreation, & Forestry Learn More Trash Collection Learn More Elections Learn More City Staff Directory Learn More BROOKFIELD SPOTLIGHT Winter Newsletter Read on... Be A Poll Worker! The City of Brookfield is in need of addition…"
Oak Creek-Franklin Joint School District,WI,http://www.oakcreekwi.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Northern Mariana Islands,WI,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
Hawaii,WI,http://www.hawaiipublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Rice Lake Area School District,WI,https://www.ricelake.k12.wi.us/,,,https://www.ricelake.k12.wi.us/students___staff,"Missing: policy, tech (crawl limited)",1,0,0,0,0,1,,,,,-4552 Facebook Page Youtube Channel Site Map Website by SchoolMessenger Presence . © 2026 SchoolMessenger Corporation. All rights reserved. Staff Directory - Rice Lake Area Schools Skip navigation More Options Select a School Rice Lake Area School District Haugen Elementary Schoo…
La Crosse,WI,http://www.co.la-crosse.wi.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Monroe,WI,https://www.co.monroe.wi.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Washburn,WI,http://www.co.washburn.wi.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Crawford,WI,http://www.crawfordcountywi.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Howard-Suamico School District,WI,https://www.hssdschools.org,https://www.hssdschools.org/departments/technology/policies,https://www.hssdschools.org/departments/technology/policies,https://www.hssdschools.org/staff/human-resources/policies-and-protocols,,2,0,0,1,0,1,,,ion Additional Registration Forms Address Lookup Open Enrollment School Closing Guidelines Social Media Staff Directory Strategic Framework Superintendent Transportation Departments Communications Facilities Finance Human Resources Operations Safety and Security School Nutrition …,,Parent Teacher Conferences Registration Additional Registration Forms Address Lookup Open Enrollment School Closing Guidelines Social Media Staff Directory Strategic Framework Superintendent Transportation Departments Communications Facilities Finance Human Resources Operations S…
Kenosha School District,WI,https://www.kusd.edu/,https://www.kusd.edu/board-education/policies/,,https://www.kusd.edu/wp-login.php?redirect_to=https%3A%2F%2Fwww.kusd.edu%2Fstaff%2F,Missing: tech (crawl limited),2,0,0,1,0,1,,,rict and School – Accountability Report Cards (State) District and School – ESSA Accountability Reports (Federal) Research Requests Student Directory Information Education Foundation of Kenosha Facilities Services Indoor Air Quality Rental Permits Finance Accounts Payable Account…,,rict and School – Accountability Report Cards (State) District and School – ESSA Accountability Reports (Federal) Research Requests Student Directory Information Education Foundation of Kenosha Facilities Services Indoor Air Quality Rental Permits Finance Accounts Payable Account…
Caledonia,WI,http://www.caledoniawi.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Green Lake,WI,http://www.co.green-lake.wi.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Greenfield,WI,http://www.ci.greenfield.wi.us/,,,https://www.ci.greenfield.wi.us/Directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,rmits Polling Locations Property Search Register to Vote Request an Absentee Ballot Senior Resources Greenfield Apartment Search Department Directory Development Services Inspections Licenses Permits Health Services Public Safety Services Crime Prevention Emergency Management Eve…,,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Greenfield, WI • CivicEngage Skip to Main Content Residents Community Businesses Government Search Residents Citizen Servi…"
Milwaukee,WI,http://www.county.milwaukee.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
South Shore School District,WI,https://sshore.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Cudahy,WI,http://www.cudahy-wi.gov/,,,https://www.cudahy-wi.gov/departments/city_directory.php,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,ets & Audits Municipal Codes Strategic Plan 2024-2026 Meeting Agendas & Minutes Municipal Court Ordinances and Resolutions Departments City Directory Assessor Clerk/ Treasurer City Administrator Economic Development Engineering Fire Health Inspection Municipal Court Police Public…,,rkish Ukrainian Urdu Vietnamese Welsh Yiddish Yoruba Zulu Facebook Twitter Youtube Home I Want To...... Read the Newsletter Change Property Contact Info Make a Payment Online View Parking Rules Find Voting Information Report A Problem Apply for a Permit Open a Business in Cudahy …
Cumberland School District,WI,http://www.cumberland.k12.wi.us,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"School Supplies Youtube Latest Events See All Events See All Events Find Us Cumberland School District 1010 8th Avenue Cumberland, WI 54829 Phone: 715-822-5124 Fax: 715-822-5136 Schools Cumberland School District Stay Connected Copyright © 2026 Cumberland School District. All rig…"
