district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Elk Point-Jefferson School District,SD,http://www.epj.k12.sd.us,https://www.epj.k12.sd.us/page/board-of-education,,https://www.epj.k12.sd.us/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,25-26 Bus/Lunch Employment District Newsletter EPJ 2024 Audit Report Project Standup Public Notices School Brochure Safe Return Plan Staff Directory State Report Cards Title IX Wellness Policy High/Middle School Show submenu for High/Middle School High/Middle School HS/MS Princip…,,lendar 25-26 Bus/Lunch Employment District Newsletter EPJ 2024 Audit Report Project Standup Public Notices School Brochure Safe Return Plan Staff Directory State Report Cards Title IX Wellness Policy High/Middle School Show submenu for High/Middle School High/Middle School HS/MS …
White Lake School District,SD,http://www.whitelake.k12.sd.us,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,igation White Lake School District 01-3 Login Our Schools Our Schools Our Schools Our Schools District Info Student Services Calendar Staff Directory Employment Opportunities Contact Us Shortcuts Newsletters Daily Announcements Parent Portal Student Portal Teacher Portal Menus KW…,,to Navigation White Lake School District 01-3 Login Our Schools Our Schools Our Schools Our Schools District Info Student Services Calendar Staff Directory Employment Opportunities Contact Us Shortcuts Newsletters Daily Announcements Parent Portal Student Portal Teacher Portal Me…
Jerauld,SD,https://jerauldcountysd.com/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"is named for a Native American mosaic placed to form a large turtle with its head to the rising sun. It is said to be the burying place of Chief Big Turtle. Today, visitors to Wessington Springs can visit Civil War Hero Cleveland Hall's grave at Prospect Hill Cemetery, attend the…",,"the Jerauld County Emergency Management Office, by going to www.districtiii.org, or by scanning this QR code: For more information, please contact the Jerauld County Emergency Management Office at [email protected] or by calling 605 539-1311. You can also contact John Clem at 800…"
Brookings,SD,http://www.brookingscountysd.gov,,,http://www.brookingscountysd.gov/directory.aspx?EID=10,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"t Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Dave Miller Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Webs…",,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Dave Miller Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more…"
Pierre Indian Learning Center,SD,https://pilc.k12.sd.us/,https://pilc.k12.sd.us/resources/exceptionaledpolicy/,,https://pilc.k12.sd.us/pilc/contactus/,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,Pierre Indian Learning Center | Pierre South Dakota Menus Events Calendar Planning Calendar Facebook Instagram PILC About PILC Contact Us Employment Graduate Movies News School Board Academics About Academic Staff Admissions Extracurriculars Athletics Chess Destination Imag…
Hughes,SD,http://www.hughescounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Webster School District,SD,http://webster.k12.sd.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Kingsbury,SD,http://kingsbury.sdcounties.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Huron School District,SD,https://www.huron.k12.sd.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Pennington,SD,http://www.co.pennington.sd.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Roberts,SD,http://roberts.sdcounties.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Douglas,SD,https://douglas.sdcounties.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"Douglas County, South Dakota - February 22, 2026 Douglas County, South Dakota Home Directory Auditor & Welfare Office Community Health Nurse Director of Equalization Drainage Emergency Management Highway Department Extension/4-H Planning and Zoning Register of Deeds…",,"Officer: Jerry Seiner The Charles Mix-Douglas County Veterans Service Officer will be out of the office until March 30, 2026 For assistance contact Either Veterans Service Officer Dave Denson at 605-940-9622 Jerry Seiner at 605-481-1338 To schedule a DAV Van ride, contact Karen K…"
Stanley,SD,http://www.stanleycounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Ziebach,SD,https://ziebachcounty.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"iebach County, SD Welcome to the Ziebach County, SD Website Welcome to the Ziebach County, SD Website Welcome to the Ziebach County, SD Website Welcome to the Ziebach County, SD Website Assessor DIRECTOR OF EQUALIZATION County Directors of Equalization are appointed to their offi…",,"ice ATTENTION!! The Ziebach County Courthouse is open to the public . If you have any questions, prior to your arrival, please feel free to contact the office you need to conduct business with. Auditor: 605-365-5157 or ziebachauditor@lakotanetwork.com Treasurer: 605-365-5173 or z…"
Beadle,SD,http://beadle.sdcounties.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Codington,SD,http://www.codington.org,,,https://www.codington.org/contact/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"ming community and providing hope for everyone. For information on local resources, visit the Codington Connects website Community Services Director Sara Foust 7 West Kemp Watertown, SD 57201 Email Community Services (605)882-6286 Mon-Fri 9am-4pm Guidelines PDF The Impact Program…",,Codington County South Dakota – Local government website for Codington County in South Dakota Commissioners Contact Information Open Hours: Mon - Fri 8:00 am - 5:00 pm Home Commissioners Commissioner Info Commissioners Agenda Commissioners Minutes Commiss…
American Samoa,SD,https://www.doe.as/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Government delegations elections,SD,http://www.sd.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Marshall,SD,http://marshall.sdcounties.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"- Marshall County, South Dakota February 22, 2026 Marshall County, South Dakota Home About Directory 911 Dispatching Auditor’s Office Clerk of Courts County Health Nurse Equalization Department (County Assessor) Driver’s Licensing Emergency Management Extension…",,"only entrance is the north (front) door, and visitors can park in the west parking lot. If you need handicap accessibility you will have to contact the office you are dealing with because the elevator will not be in use until a later date. For the Sheriff’s Office/911 enter the c…"
McCook,SD,http://www.mccookcountysd.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Sanborn Central School District School Website,SD,http://www.sanborncentral.com/index.html,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Sioux Valley School District,SD,https://www.svs.k12.sd.us/,https://www.svs.k12.sd.us/page/policy-sections,,https://www.svs.k12.sd.us/staff?filter_ids=97041,Missing: tech (crawl limited),2,0,0,1,0,1,,,405 Heather.Hiltunen@k12.sd.us Kim Jacobson Business Manager Administration 402 Kim.Jacobson@k12.sd.us Moe Ruesink Dean of Students & Activities Director Administration 208 Moe.Ruesink@k12.sd.us Laura Schuster Superintendent Administration 403 Laura.Schuster@k12.sd.us Contact Sio…,,"zo escolar gratuito o a precio reducido. Free & Reduced Price Lunch Application Solicitud de almuerzo escolar gratuito o a precio reducido. Contact Sioux Valley School District 05-5 200 HANSINA AVE, PO BOX 278 Volga, SD 57071 Phone: (605) 627-5657 Fax: (605) 627-5291 Links & Logi…"
Puerto Rico,SD,https://de.pr.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,1,0,0,,,rvicios Asuntos Academicos TAL SEPI Recursos Empleos Ofertas de Empleo Portal de Recursos Humanos Portal del Empleado Aplicaciones Internas Directorio Portal oficial del Gobierno de Puerto Rico Un sitio web oficial .pr.gov pertenece a una organización oficial del Gobierno de Puer…,,
Faith School District,SD,http://www.faith.k12.sd.us,https://www.faith.k12.sd.us/school-board/school-policy,,https://www.faith.k12.sd.us/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,o navigation Faith School District Home Surplus Calendars School Board Meeting Information School Policy Audited Financial Statements Staff Directory District Info. City of Faith Alumni State Assessments Food Services School Report Card Employment Athletics Football Volleyball Cr…,,Skip to navigation Faith School District Home Surplus Calendars School Board Meeting Information School Policy Audited Financial Statements Staff Directory District Info. City of Faith Alumni State Assessments Food Services School Report Card Employment Athletics Football Volleyb…
Walworth,SD,http://walworthco.org,,,https://walworthco.org/directory/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"Walworth County, South Dakota February 22, 2026 Walworth County, South Dakota Home About Directory Auditor Clerk of Courts Community Health Nurse Director of Equalization Emergency Management Extension Office Highway Department Landfill Planning & Zoning Register of Deed…",,h County Auditor: Kimberly Dills Email address: [email protected] Walworth County Deputy Auditor: Deb Kahl Email address: [email protected] Contact information: Walworth County Auditor PO Box 199 Selby SD 57472-0199 Telephone number: (605) 649-7878 Facsimile number: (605) 649-786…
Aurora,SD,https://www.districtiii.org/district/aurora.php,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Oglala Lakota,SD,https://oglalalakota.sdcounties.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"Oglala Lakota County, South Dakota - Skip to content February 22, 2026 Oglala Lakota County, South Dakota Home Online Map About Directory Auditors & Welfare Office Clerk of Court Public Health Nurse Director of Equalization Emergency Management GIS Highway Department Planning & Z…",,"county, state and federal elections held in the county. The Auditor also maintains all records of voter registration and election history. Contact Information Auditor’s Office 906 N. River St. Hot Springs, SD 57747 (605) 745-5130 [email protected] [email protected] County Auditor…"
Baltic School District,SD,http://baltic.k12.sd.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hot Springs School District,SD,https://www.hssd.k12.sd.us/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"Online Bison Store Online Registration Schools Find Us Hot Springs School District 23-2 1747 Lincoln Avenue Hot Springs, SD Central Office Phone: 605-745-4145 Number: ELEM Phone: 605-745-4149 Fax: MS Phone: 605-745-4146 HS Phone: 605- 745-4147 Email: Online Bison Store: https://1…"
Davison,SD,http://www.davisoncounty.org,https://www.davisoncounty.org/departments/fairgrounds-complex/fairgrounds-rental-policies/,,https://www.davisoncounty.org/info/directory-of-services/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"h Dakota February 22, 2026 Davison County, South Dakota Home Info A Brief History of Davison County NOTICES Committees Davison County Facts Directory of Services Employment Opportunities Staff Email Township Board Members Davison-Hanson County Ambulance District Board Departments…",,"in trash containers provided. Any equipment utilized should be accounted for and returned to its original location. Maintenance Problems – Contact Robbie Faas, Fairground Maintenance 605-770-3512 or Joel Rang, Director of Physical Plant Office 605-995-8645 Cell 605-999-6538 If yo…"
