district,state,index_score,tier,homepage,found_policy_url,found_tech_url,found_contact_url,emails_found,priority_email,cc_emails,send_class,packet_dir
Chilton County,AL,0,No Public AI Governance Signals,http://www.chiltonschools.org/,,,,,,,MANUAL_LOOKUP,outreach_out/AL_Chilton_County
Decatur City,AL,0,No Public AI Governance Signals,https://www.dcs.edu/,https://www.dcs.edu/page/board,,,,,,MANUAL_LOOKUP,outreach_out/AL_Decatur_City
Fort Payne City,AL,0,No Public AI Governance Signals,http://www.ftpayk12.org,,,,,,,MANUAL_LOOKUP,outreach_out/AL_Fort_Payne_City
Jacksonville City,AL,0,No Public AI Governance Signals,http://www.jacksonville.k12.al.us,,,,,,,MANUAL_LOOKUP,outreach_out/AL_Jacksonville_City
Jefferson County,AL,0,No Public AI Governance Signals,http://jefcoed.com,,,,,,,MANUAL_LOOKUP,outreach_out/AL_Jefferson_County
Vestavia Hills City,AL,0,No Public AI Governance Signals,http://www.vestavia.k12.al.us/,,,,,,,MANUAL_LOOKUP,outreach_out/AL_Vestavia_Hills_City
Wilcox County,AL,0,No Public AI Governance Signals,http://www.wilcox.k12.al.us/,,,,andre.saulsberry@wilcoxboe.org;synaurib@gmail.com;frangastoncook@gmail.com;sdsdortch@yahoo.com;bernardmartinjr1@gmail.com;josephpettway5@yahoo.com;lester.turk@wilcoxboe.org;sheria.morgan@wilcoxboe.org;michael.blackburn@wilcoxboe.org;latoria.bridges@wilcoxboe.org;jelisa.dear@wilcoxboe.org;natasha.dortch@wilcoxboe.org;daniel.dotson@wilcoxboe.org;evelyn.hudson@wilcoxboe.org;marcus.lennon@wilcoxboe.org;angela.lundy@wilcoxboe.org;jennifer.poindexter@wilcoxboe.org;sheridan.robinson@wilcoxboe.org;lashonda.rogers@wilcoxboe.org;makeitha.shamburger@wilcoxboe.org,andre.saulsberry@wilcoxboe.org,synaurib@gmail.com;frangastoncook@gmail.com;sdsdortch@yahoo.com;bernardmartinjr1@gmail.com,GENERIC,outreach_out/AL_Wilcox_County
Ashley,AR,0,No Public AI Governance Signals,http://ashleycounty.arkansas.gov/,,,,,,,MANUAL_LOOKUP,outreach_out/AR_Ashley
Bentonville School District,AR,0,No Public AI Governance Signals,http://bentonvillek12.org/,,,,,,,MANUAL_LOOKUP,outreach_out/AR_Bentonville_School_District
Centerpoint School District,AR,0,No Public AI Governance Signals,http://www.centerpoint.dsc.k12.ar.us/,,,,,,,MANUAL_LOOKUP,outreach_out/AR_Centerpoint_School_District
Clinton School District,AR,0,No Public AI Governance Signals,http://clinton.k12.ar.us/,,,,,,,MANUAL_LOOKUP,outreach_out/AR_Clinton_School_District
Fordyce School District,AR,0,No Public AI Governance Signals,http://fordyceschools.org/,,,,garlingtonj@fordyceschools.org;hayesl@fordyceschools.org;smithc@fordyceschools.org;olveyk@fordyceschools.org;jonesc@fordyceschools.org;simpsonv@fordyceschools.org;sutherlande@fordyceschools.org;carrm@fordyceschools.org;sledged@fordyceschools.org;mcghanc@fordyceschools.org;sheildsg@fordyceschools.org;shawc@fordyceschools.org;mcgheeb@fordyceschools.org;clemonsa@forydceschools.org;steelemana@fordyceschools.org;hammondsa@fordyceschools.org;sociaa@fordyceschools.org;gilla@fordyceschools.org;brianam@fordyceschools.org;moorej@fordyceschools.org,garlingtonj@fordyceschools.org,hayesl@fordyceschools.org;smithc@fordyceschools.org;olveyk@fordyceschools.org;jonesc@fordyceschools.org,GENERIC,outreach_out/AR_Fordyce_School_District
