district,state,homepage,index_score,tier,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,evidence_public_ai_policy_exists,ai_use_publicly_disclosed,evidence_ai_use_publicly_disclosed,oversight_named,evidence_oversight_named,board_policy_mentions_ai,evidence_board_policy_mentions_ai,public_contact_available,evidence_public_contact_available
Plainfield School District 202,IL,https://www.psd202.org/,30,Minimal Transparency,https://www.psd202.org/page/board-of-education,,https://www.psd202.org/page/administration,Missing: tech (crawl limited),2,0,,0,,1,Homecoming School Polling Places District 202 Facility Usage Foundation for Excellence DEPARTMENTS Show submenu for DEPARTMENTS DEPARTMENTS Superintendent Administration and Personnel Business & Operations Community Relations Curriculum & Instruction Student Services Health Servi…,0,,1,ABOUT US Show submenu for ABOUT US ABOUT US D202 At a Glance District Planning and Progress Administration Show submenu for Administration Staff Directory District Map Interactive District map District Report Card School Safety Transparency Show submenu for Transparency Freedom o…
Rockford Public Schools (SD 205),IL,https://www.rps205.com/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Schaumburg School District 54,IL,https://sd54.org/,30,Minimal Transparency,https://sd54.org/board/,https://sd54.org/technology/,https://sd54.org/staff/,,2,0,,0,,1,EO Contract Substitutes Web Mail Departments Business Operations Community Relations Human Resources Multilingual Programs Special Services Superintendent’s Office Teaching and Learning Technology Transportation Contact Us Bullying and Safety Reporting Complaint Procedures Contac…,0,,1,tion District Policies Freedom of Information Act Illinois School Report Card Mission Overview of District 54 Run to Read School Boundaries Staff Directory Families & Students Attendance/Hours Assistance and Support Child Care Curriculum Equity and Inclusion Food Pantry Foundatio…
Valley View School District 365U,IL,https://www.valleyviewsd365u.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Joliet Public Schools District 86,IL,https://www.joliet86.org/,30,Minimal Transparency,https://www.joliet86.org/o/jps/page/school-board,,https://www.joliet86.org/staff,Missing: tech (crawl limited),2,0,,0,,1,ools District 86 website. Please explore the website for a variety of information and connect with us on social media. End of Gallery Staff Directory Documents School Board E-LEARNING ROOMS Dining Community Events Superintendent's welcome Welcome to Joliet Public Schools District…,0,,1,ic Schools District 86 website. Please explore the website for a variety of information and connect with us on social media. End of Gallery Staff Directory Documents School Board E-LEARNING ROOMS Dining Community Events Superintendent's welcome Welcome to Joliet Public Schools Di…
Peoria Public Schools District 150,IL,https://www.peoria150.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Springfield School District 186,IL,https://www.sps186.org/,30,Minimal Transparency,https://www.sps186.org/o/sps/page/board-of-education,,,"Missing: tech, contact (crawl limited)",2,0,,0,,1,ring October through January to facilitate planning of the group’s Unity Day event. The Student Board Representative works closely with the Superintendent and her staff to facilitate the Roundtable's meetings and activities. The Student Board Representative will be given time on …,0,,1,"e District's administrative office located at 3063 Fiat Avenue. For additional information or to set an appointment to view the map, please contact Julie Hammers at 217/525-4406, jhammers@sps186.org. Student Board of Education Member Application Information Sample Application The…"
Aurora Public Schools District 131,IL,https://www.d131.org/,30,Minimal Transparency,https://www.d131.org/board-of-education/,,https://www.d131.org/staff-logins/,Missing: tech (crawl limited),2,0,,0,,1,rvice Centers Centros de Servicio Staff Directory Directorio del personal Calendar Calendario Human Resources Recursos Humanos Search Staff Directorio del personal Submit Enviar 2025-2026 School Year 2025-2026 Año Escolar About Nuestro Distrito Parents Padres Students Estudiantes…,0,,1,s Students Estudiantes Search Site Sitio de Búsqueda Submit Enviar News Noticias Register Inscripciones Service Centers Centros de Servicio Staff Directory Directorio del personal Calendar Calendario Human Resources Recursos Humanos Search Staff Directorio del personal Submit Env…
East Aurora School District 131,IL,https://www.d131.org/,30,Minimal Transparency,https://www.d131.org/board-of-education/,,https://www.d131.org/staff-logins/,Missing: tech (crawl limited),2,0,,0,,1,rvice Centers Centros de Servicio Staff Directory Directorio del personal Calendar Calendario Human Resources Recursos Humanos Search Staff Directorio del personal Submit Enviar 2025-2026 School Year 2025-2026 Año Escolar About Nuestro Distrito Parents Padres Students Estudiantes…,0,,1,s Students Estudiantes Search Site Sitio de Búsqueda Submit Enviar News Noticias Register Inscripciones Service Centers Centros de Servicio Staff Directory Directorio del personal Calendar Calendario Human Resources Recursos Humanos Search Staff Directorio del personal Submit Env…
Oswego Community Unit School District 308,IL,https://www.sd308.org/,30,Minimal Transparency,https://www.sd308.org/Our-District/Disclosures/Policies/index.html,,https://www.sd308.org/Staff-Directory/,Missing: tech (crawl limited),2,0,,0,,1,"atically retrieve data or other content from the Site to create or compile, directly or indirectly, a collection, compilation, database, or directory without written permission from us. 2. Make any unauthorized use of the Site, including collecting usernames and/or email addresse…",0,,1,"or or staff member for your child’s school, please access the school website, contact information can also be found using our district wide staff directory. Need assistance? If you are not sure who to contact, just use this link and your question will be directed to the most appr…"
Waukegan Community Unit School District 60,IL,https://www.wps60.org/,30,Minimal Transparency,https://www.wps60.org/parents_students/promotion_retention_policy_manual,,https://www.wps60.org/our_district/staff_directory,Missing: tech (crawl limited),2,0,,0,,1,ent at Home Guides Communications F.A.C.E Newsletter F.A.C.E. F.A.C.E Events Calendar Family Involvement Volunteer Application OSAA Liaison Directory Volunteer Opportunities Waukegan Alumni Alumni Transcript Requests Community Committees PTAC - Parent / Teacher Advisory Committee…,0,,1,} ##LOC[OK]## Menu Our District About Our District About Our District District Events District Map District News Frequently Asked Questions Staff Directory Waukegan Schools Foundation Welcome Center Leadership Office of the Superintendent Area Superintendents Negotiated Contracts…
